"Biračko Mjesto","ENES EMINIĆ - KOALICIJA SDP-DF","FARIS HASANBEGOVIĆ - SDA/SBB"
032A001,106,104
032A002,137,68
032A003,91,36
032A004,63,77
032A005,92,95
032A006,113,79
032A007,101,62
032A008,142,123
032A009,108,88
032A010,136,79
032A011,115,295
032A012,159,151
032A013,138,107
032A014A,83,103
032A014B,46,104
032A015,88,100
032A016,104,141
032A017,93,85
032A018,67,149
032A019,138,105
032A020,124,92
032A021,89,130
032A022,145,138
032A023,98,160
032A024,101,76
032A025A,47,108
032A025B,33,107
032A026,59,103
032A027,232,31
032A028,93,131
032A029,66,125
032A030,126,147
032A031,96,145
032A032A,71,90
032A032B,128,122
032A033,152,120
032A034,129,142
032A035,44,38
032A036,126,108
032A037,135,107
032A038,76,150
032A039,9,60
032A040,59,105
032A041,92,116
032A042,101,91
032A043,61,92
032A044,62,42
032A045,23,141
032A046,118,89
032A047,43,120
032A048,107,50
032A049,76,36
Ukupno,5041,5463
