"Biračko Mjesto","SLAVKO ŽUPLJANIN - STRANKA SPAS","IGOR RADOJIČIĆ - SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD","DUŠKO TADIĆ - PRVA STRANKA","DRAGAN ČAVIĆ - SAVEZ ZA PROMJENE-BANJA LUKA"
034B000,0,5,0,2
034B001,0,225,1,81
034B002,14,279,11,148
034B003,8,291,10,154
034B004,8,241,8,147
034B005,9,143,6,109
034B006,12,257,5,143
034B007A,7,250,5,123
034B007B,4,262,5,138
034B008A,2,188,3,122
034B008B,6,173,1,100
034B009,12,218,4,166
034B010,10,206,2,147
034B011,6,195,13,156
034B012,6,172,10,158
034B013,6,204,3,170
034B014,8,232,9,147
034B015,10,166,6,143
034B016,9,215,10,141
034B017,5,166,5,197
034B018,12,189,8,153
034B019,5,169,4,137
034B020,2,218,10,165
034B021,6,221,7,198
034B022,10,257,8,170
034B023,6,225,7,209
034B024,8,214,5,189
034B025,8,310,3,187
034B026,0,283,4,150
034B027A,2,106,2,125
034B027B,4,191,0,186
034B028,3,253,5,128
034B029,2,225,1,101
034B030,0,199,0,75
034B031,4,198,5,166
034B032,5,202,8,165
034B033,10,163,6,184
034B034,9,166,6,138
034B035,8,176,8,144
034B036,4,138,4,79
034B037,5,161,2,178
034B038,4,173,3,153
034B039A,3,176,0,75
034B039B,1,239,4,131
034B040,4,115,1,119
034B041,3,110,4,117
034B042,10,229,8,175
034B043A,0,89,2,71
034B043B,2,103,8,81
034B044,2,175,0,128
034B045,0,106,0,54
034B046,3,337,6,157
034B047A,3,133,4,102
034B047B,1,168,5,114
034B048,7,249,4,142
034B049,2,332,0,106
034B050,4,213,2,117
034B051A,3,207,15,146
034B051B,9,204,7,177
034B051C,3,217,5,115
034B052A,8,256,7,175
034B052B,4,227,8,114
034B053,4,204,5,122
034B054,0,86,0,24
034B055,8,332,10,162
034B056,7,274,14,159
034B057,11,277,8,141
034B058,13,268,8,164
034B059,4,243,4,127
034B060,8,233,8,128
034B061,4,235,10,133
034B062,6,199,1,103
034B063,6,219,5,135
034B064,11,229,5,135
034B065,6,263,5,166
034B066,6,182,8,175
034B067A,4,209,2,82
034B067B,4,196,3,65
034B068,5,308,4,120
034B069,0,146,0,48
034B070A,2,223,1,131
034B070B,3,187,3,120
034B071,12,175,11,220
034B072,6,138,7,149
034B073,5,159,6,182
034B074,4,149,3,144
034B075,11,195,6,167
034B076,6,171,2,139
034B077,11,118,5,144
034B078,8,183,7,141
034B079,11,284,4,131
034B080,4,210,6,106
034B081,2,247,1,103
034B082,4,406,0,115
034B083,1,181,1,45
034B084A,2,149,4,114
034B084B,0,169,1,97
034B084C,7,243,4,165
034B084D,4,255,5,146
034B084E,7,253,3,146
034B085,3,217,4,146
034B086,6,207,5,146
034B087,11,261,11,159
034B088,16,284,17,158
034B089,6,205,5,121
034B090,2,225,8,163
034B091,5,259,22,140
034B092,4,285,8,143
