"Biračko Mjesto","STOJKO STANAREVIĆ - SDS-SRPSKA DEMOKRATSKA STRANKA","ILIJA VUJIČIĆ - PARTIJA UJEDINJENIH PENZIONERA","RADOMIR TRIVIĆ - DNS-DEMOKRATSKI NARODNI SAVEZ","MOMČILO ZELJKOVIĆ - SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD"
035B001,138,26,174,169
035B002,144,11,177,148
035B003,221,24,119,240
035B004,144,27,181,210
035B005,107,23,135,181
035B006,115,10,204,127
035B007,46,0,69,145
035B008,93,2,56,153
035B009,203,15,72,156
035B010,78,5,54,78
035B011A,51,4,286,73
035B011B,35,2,209,37
035B012,45,1,184,41
035B013,91,3,117,170
035B014,105,5,108,161
035B015,92,6,39,123
035B016,146,1,4,39
035B017,110,10,136,104
035B018,88,1,63,70
035B019,11,1,111,80
035B020,150,65,71,235
035B021,41,4,85,69
035B022,98,9,43,80
035B023,154,29,240,266
035B024,183,24,205,175
035B025,71,1,40,85
Ukupno,2760,309,3182,3415
