"Biračko Mjesto","OBREN PETROVIĆ - SDS-SRPSKA DEMOKRATSKA STRANKA","MILORAD ŽIVKOVIĆ - SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD","GOLUB PANIĆ - SRPSKA NAPREDNA STRANKA"
038B001,126,191,12
038B002,193,157,13
038B003A,314,126,7
038B003B,307,162,17
038B004,102,117,12
038B005,83,101,4
038B006,116,193,12
038B007,242,247,14
038B008,114,210,15
038B009,180,239,22
038B010,144,211,25
038B011,62,100,11
038B012,153,328,25
038B013,148,279,11
038B014,261,259,14
038B015,284,120,8
038B016A,151,205,13
038B016B,130,230,18
038B017,104,104,6
038B018A,137,227,16
038B018B,143,267,12
038B019,148,234,10
038B020,164,244,11
038B021,68,157,4
038B022,138,120,4
038B023A,147,275,15
038B023B,161,244,13
038B024,99,229,13
038B025A,147,261,21
038B025B,105,221,6
038B026,98,148,8
038B027,175,285,23
038B028,210,220,14
038B029,254,63,5
038B030,210,53,3
038B031,253,87,1
038B032,157,5,0
038B033,287,22,5
038B034,394,79,4
038B035A,142,116,9
038B035B,113,205,14
038B036,55,13,0
038B037,80,43,0
038B038,202,21,0
038B039A,149,227,10
038B039B,112,193,6
038B040A,465,180,4
038B040B,271,87,0
038B041,184,81,3
038B042,188,219,8
038B043A,211,161,7
038B043B,263,202,7
038B043C,156,155,3
038B044,213,272,13
038B045,370,7,1
038B046,475,5,2
038B047,220,8,4
038B048,131,100,5
038B049,58,54,2
038B050,225,134,6
038B051,182,170,1
038B052,141,98,3
038B053,112,117,1
038B054,662,41,0
038B055,176,96,2
038B056,312,121,0
038B057A,107,168,7
038B057B,124,155,2
038B058,178,251,12
038B059A,393,71,5
038B059B,355,95,6
038B060,321,48,1
038B061,385,2,1
038B062,180,18,1
038B063,158,87,1
038B064,70,40,0
038B065,89,7,1
038B066,107,76,2
038B067,99,99,0
038B068,94,78,4
038B069,285,92,4
038B070,147,148,3
038B071,225,313,7
038B072,97,115,0
038B073,49,13,0
038B074A,235,24,0
038B074B,172,33,4
038B074C,130,67,7
038B075,46,39,0
038B076,192,86,4
038B077,218,78,1
038B078,320,280,9
038B079,302,84,4
038B080,182,112,7
038B081A,297,58,2
038B081B,271,108,2
038B082A,78,165,17
038B082B,63,206,8
038B083A,120,259,9
038B083B,105,258,6
038B083C,143,219,19
038B083D,73,211,17
038B084,220,274,5
038B085,245,289,6
038B086,168,192,1
038B087,86,63,5
Ukupno,19706,15127,748
