"Biračko Mjesto","HALID HUNDUR - NEZAVISNI KANDIDAT","AMIR GALIJAŠEVIĆ - NEZAVISNI KANDIDAT","SUAD HUSKIĆ - SDA/SBB"
039A001,13,107,189
039A002,14,121,326
039A003,22,159,218
039A004A,5,11,235
039A004B,4,42,254
039A005A,0,29,297
039A005B,2,18,259
039A006,8,101,136
039A007,12,208,120
039A008,10,201,162
039A009,12,84,135
039A010A,11,117,254
039A010B,12,83,220
039A011,1,31,302
039A012A,4,162,249
039A012B,2,115,176
039A013A,7,24,324
039A013B,2,21,309
039A014,14,180,208
039A015,8,94,332
039A016A,4,46,200
039A016B,6,16,178
039A017A,5,31,223
039A017B,2,47,248
039A018,15,53,214
039A019A,4,52,224
039A019B,11,97,214
039A020,2,74,440
039A021A,7,160,246
039A021B,7,153,217
039A022A,6,78,166
039A022B,10,66,214
039A022C,4,70,138
039A022D,8,76,180
039A023,5,91,189
039A024A,3,92,295
039A024B,7,144,287
039A024C,4,112,267
039A025,38,233,193
039A026,36,201,231
039A027,23,137,209
039A028A,11,115,97
039A028B,12,125,113
039A029,25,162,193
039A030,3,87,117
039A031A,9,140,305
039A031B,5,106,282
039A032A,7,74,254
039A032B,4,96,157
039A033,11,150,164
039A034,13,69,141
039A035,2,76,99
039A036,21,210,190
039A037,12,213,153
039A038,1,7,202
Ukupno,506,5567,11945
