"Biračko Mjesto","MIRSAD MAHMUTAGIĆ - SDP-SOCIJALDEMOKRATSKA PARTIJA BIH","MUHAMED OSMIĆ - SDA/SBB"
042A001,297,146
042A002,311,142
042A003A,195,115
042A003B,198,97
042A004,249,116
042A005,249,155
042A006,243,215
042A007,76,66
042A008,296,145
042A009,282,136
042A010A,142,218
042A010B,102,156
042A011,192,133
042A012,187,109
042A013A,180,147
042A013B,163,107
042A014,53,244
042A015,160,163
042A016,134,205
042A017,92,149
042A018,65,198
042A019,156,161
042A020,137,205
042A021,54,127
042A022,141,102
042A023,247,124
042A024A,116,279
042A024B,86,217
042A025A,164,136
042A025B,206,187
042A026,43,200
Ukupno,5216,4900
