"Biračko Mjesto","ELVIS BEKTIĆ - BPS-SEFER HALILOVIĆ","NUSRET HELIĆ - SDP-SOCIJALDEMOKRATSKA PARTIJA BIH","AMIR HASIČEVIĆ - NAŠA STRANKA","SENAD KADIĆ - DEMOKRATSKA FRONTA","ESAD TURSUNOVIĆ - SDA/SBB"
044A001,13,313,61,1,109
044A002,20,329,107,10,118
044A003,1,72,4,1,46
044A004,5,108,63,1,220
044A005,7,126,30,8,110
044A006,5,78,118,4,92
044A007,4,125,13,3,99
044A008,5,187,213,4,66
044A009,6,193,167,11,40
044A010,5,174,165,1,76
044A011,7,215,128,2,66
044A012,5,236,120,7,47
044A013,9,155,218,5,51
044A014,5,152,116,4,42
044A015,5,130,110,2,42
044A016,11,204,159,1,40
044A017,2,190,219,8,49
044A018,6,257,184,5,80
044A019,9,386,91,0,23
044A020,2,173,139,4,16
044A021,6,190,185,5,38
044A022,5,76,55,7,63
044A023,30,139,89,2,197
044A024,10,198,94,15,209
044A025,4,308,83,10,97
044A026,5,311,65,3,166
044A027,6,259,79,2,154
044A028,8,325,91,4,124
044A029A,24,159,150,25,108
044A029B,14,99,94,16,80
044A030,0,69,16,4,39
044A031,5,96,64,7,65
044A032A,4,111,54,16,183
044A032B,4,109,66,14,115
044A033,9,129,128,20,126
044A034,4,169,135,16,69
044A035,24,173,91,9,112
044A036,9,270,75,13,95
044A037,12,141,25,4,220
044A038,2,145,112,0,86
044A039A,4,129,177,17,72
044A039B,3,116,135,54,50
044A039C,1,124,64,14,25
044A040,2,65,6,1,253
044A041,3,198,11,21,193
044A042,16,245,123,20,91
044A043,6,161,129,3,139
044A044,3,40,26,2,357
044A045,5,62,53,10,494
044A046,4,70,78,5,432
044A047,1,249,99,5,70
044A048,1,280,20,1,124
044A049,7,268,82,5,171
044A050,2,57,54,4,365
044A051,3,173,54,0,128
044A052,7,126,12,1,157
044A053,0,23,14,0,12
044A054,1,30,20,0,8
044A055,3,167,190,3,48
044A056,8,164,184,5,58
044A057,11,167,159,3,33
044A058,6,86,96,2,81
044A059,0,18,14,1,87
Ukupno,414,10297,5976,451,7226
