"Biračko Mjesto","MIRZA KEŠETOVIĆ - SDP-SOCIJALDEMOKRATSKA PARTIJA BIH","IZUDIN KEŠETOVIĆ - DEMOKRATSKA FRONTA","ZAIM BEŠIĆ - PRVA STRANKA","NIHAD OMEROVIĆ - SDA/SBB"
049A001,68,13,17,171
049A002,37,4,5,99
049A003A,59,24,21,197
049A003B,61,19,15,195
049A004,74,43,10,190
049A005,76,24,7,302
049A006,41,26,6,363
049A007,87,59,20,222
049A008A,54,45,28,276
049A008B,42,37,40,188
049A009,63,42,5,217
049A010,41,16,31,138
049A011,19,15,15,174
049A012A,21,16,2,173
049A012B,15,11,1,155
049A013,62,39,11,272
049A014,50,37,7,200
049A015,126,36,36,230
049A016,27,15,33,281
049A017,1,2,4,275
049A018A,29,46,22,243
049A018B,40,47,16,289
049A019,101,53,32,297
049A020,60,48,14,257
049A021,69,25,7,164
049A022,67,38,9,197
049A023,42,17,8,166
049A024,87,40,14,204
049A025,91,67,26,264
049A026,20,2,12,130
049A027,73,29,27,210
049A028,41,25,3,306
049A029,128,43,29,277
049A030,95,16,20,200
049A031,41,18,24,268
049A032,13,12,15,169
049A033,29,2,1,114
049A034,15,12,15,68
049A035,33,18,44,118
049A036,58,24,13,135
049A037,100,48,21,208
049A038,20,9,11,94
049A039,44,8,15,79
049A040,95,11,5,122
049A041,5,0,3,223
049A042,19,20,15,151
049A043,99,19,9,210
049A044,46,21,7,253
049A045,22,26,14,179
049A046,56,25,25,177
049A047,43,14,2,207
049A048A,46,19,14,193
049A048B,34,20,5,255
049A049,61,43,19,289
049A050A,47,7,19,149
049A050B,55,14,13,153
049A051,24,11,2,10
049A052,19,11,7,146
049A053,20,23,1,408
049A054,58,31,10,230
049A055,76,37,18,217
049A056,19,12,0,162
049A057,37,2,27,92
049A058,8,12,6,98
049A059,0,0,0,0
049A060,18,10,6,100
049A061,7,3,2,57
049A062,80,59,6,137
Ukupno,3314,1620,947,12993
