"Biračko Mjesto","NOVALIJA GAVRANOVIĆ - STRANKA ZA BOSNU I HERCEGOVINU","JASMIN IMAMOVIĆ - SDP-SOCIJALDEMOKRATSKA PARTIJA BIH","ADNAN BURINA - NAŠA STRANKA","ZLATKO BERBIĆ - NEZAVISNI KANDIDAT","ALEN GADŽO - DEMOKRATSKA FRONTA","AMIRA MALKOČEVIĆ - TUZLANSKA ALTERNATIVA","ELMIR MUJKANOVIĆ - NEZAVISNI KANDIDAT","BAHRUDIN HADŽIEFENDIĆ - SDA/SBB"
050A001,0,188,12,9,43,12,20,93
050A002,2,177,8,14,33,12,2,95
050A003,13,144,5,7,49,3,1,62
050A004,0,251,17,14,44,5,4,93
050A005,0,236,7,21,45,4,0,70
050A006,4,231,9,10,54,3,2,111
050A007,2,213,10,21,54,7,4,86
050A008,2,237,9,17,34,6,3,69
050A009,1,98,4,4,21,10,2,45
050A010,1,224,20,25,29,9,1,93
050A011,0,200,13,15,25,7,1,77
050A012,0,223,19,12,31,3,1,89
050A013,0,166,3,17,38,3,2,92
050A014,1,226,15,20,31,16,2,155
050A015,1,204,12,15,19,5,2,98
050A016,0,206,10,18,35,3,2,77
050A017,4,133,13,13,17,6,2,40
050A018,2,150,9,20,40,6,1,75
050A019,2,90,2,11,9,5,2,39
050A020,4,127,4,14,64,27,1,81
050A021,1,48,4,12,29,6,1,75
050A022,0,172,6,10,52,7,5,110
050A023,0,260,0,9,22,22,4,96
050A024,2,169,4,6,11,6,0,63
050A025,2,130,3,9,21,7,0,45
050A026,0,99,5,1,15,3,0,76
050A027,5,89,1,14,5,10,1,36
050A028,3,62,0,2,2,20,0,74
050A029,2,135,3,5,19,14,1,80
050A030,4,146,6,7,19,23,1,127
050A031,1,17,1,4,4,0,0,64
050A032,0,103,2,5,21,61,2,126
050A033,0,81,5,5,29,70,3,132
050A034,1,61,0,6,32,127,2,172
050A035,0,32,0,7,4,0,0,9
050A036,1,105,1,7,31,81,0,118
050A037,1,182,4,14,29,14,1,98
050A038,0,110,2,13,1,12,0,29
050A039,1,98,6,13,27,7,2,55
050A040,2,96,5,11,24,11,2,64
050A041,2,104,5,11,19,8,4,94
050A042,1,139,5,12,13,2,5,153
050A043,1,194,3,18,24,4,2,141
050A044,7,82,4,11,55,10,6,157
050A045,7,73,4,20,51,9,3,176
050A046,1,101,4,12,76,10,2,153
050A047,2,137,8,18,22,4,1,94
050A048,0,132,9,13,24,1,2,113
050A049,0,119,4,12,32,4,0,53
050A050,0,94,2,6,45,5,1,70
050A051,1,78,4,12,38,21,2,85
050A052,0,124,6,11,30,28,1,126
050A053,5,71,1,10,11,4,2,38
050A054,1,72,6,13,12,6,8,20
050A055,0,69,5,6,13,7,1,65
050A056,6,76,2,8,52,3,3,175
050A057,4,87,2,14,11,7,6,113
050A058,1,100,4,12,17,5,8,75
050A059,2,191,5,11,40,16,1,103
050A060,0,156,1,12,27,13,0,80
050A061,1,216,3,15,31,6,2,113
050A062,2,159,10,10,38,2,3,94
050A063,2,184,16,14,25,11,1,77
050A064,1,187,7,10,28,7,2,74
050A065,1,206,6,14,21,7,2,141
050A066,1,247,6,15,34,7,1,136
050A067,2,214,6,16,33,5,2,114
050A068,2,155,2,15,29,6,1,94
050A069,1,172,4,9,18,11,3,96
050A070,0,174,8,6,41,3,0,96
050A071,2,123,3,8,27,16,2,110
050A072,2,161,2,7,21,4,1,67
050A073,8,200,6,8,45,27,2,154
050A074,2,223,8,19,31,4,1,68
050A075,0,156,10,13,26,2,0,53
050A076,1,238,9,23,31,3,0,100
050A077,2,215,8,17,26,4,3,102
050A078,2,230,11,21,36,4,2,76
050A079,1,298,16,31,41,1,2,141
050A080,3,56,0,15,5,2,0,45
050A081,9,170,2,28,91,21,2,165
050A082,1,152,1,4,29,5,3,159
050A083,0,71,0,1,10,2,2,59
