"Biračko Mjesto","DIKO CVIJETINOVIĆ - DNS-DEMOKRATSKI NARODNI SAVEZ","VASILIJE PERIĆ - SAVEZ ZA PROMJENE-UGLJEVIK"
056B001,226,308
056B002,220,271
056B003,383,313
056B004,252,296
056B005,131,194
056B006,173,339
056B007,136,184
056B008,84,137
056B009,9,116
056B010,288,346
056B011,147,270
056B012,69,105
056B013,68,138
056B014,218,429
056B015,98,156
056B016A,130,245
056B016B,77,258
056B017,90,226
056B018A,102,250
056B018B,101,221
056B019,33,60
056B020,43,104
056B021,212,377
056B022,27,100
056B023,50,84
056B024,36,97
056B025,86,125
056B026,36,131
056B027,257,213
Ukupno,3782,6093
