"Biračko Mjesto","NEDŽAD ZUKANOVIĆ - SDP-SOCIJALDEMOKRATSKA PARTIJA BIH","NEVRES MEŠIĆ - A-SDA STRANKA DEMOKRATSKE AKTIVNOSTI","JASMIN MUSIĆ - SDA/SBB"
059A001,262,43,83
059A002,250,49,121
059A003,212,42,116
059A004,164,59,98
059A005,236,55,156
059A006,229,41,67
059A007A,153,14,75
059A007B,110,20,84
059A008,115,62,76
059A009,176,11,61
059A010A,79,31,112
059A010B,81,25,64
059A011,82,47,69
059A012,210,22,78
059A013,239,61,108
059A014,245,41,89
059A015,119,6,28
059A016,172,11,106
059A017,164,40,140
059A018,141,46,60
059A019,238,44,82
Ukupno,3677,770,1873
