"Biračko Mjesto","EDIN HOZAN - SDA/SBB","STIPAN JEZERČIĆ - ZAJEDNO ZA BOLJE SUTRA JAJCU - HDZ BIH, HDZ 1990"
065A000,0,1
065A001,154,180
065A002,91,170
065A003,107,207
065A004,293,56
065A005,151,191
065A006,187,179
065A007,83,341
065A008,186,165
065A009,325,64
065A010,170,124
065A011,29,90
065A012A,462,27
065A012B,354,20
065A013,379,113
065A014,253,72
065A015,632,2
065A016,94,100
065A017,124,298
065A018,154,227
065A019,97,161
065A020,110,283
065A021,340,0
065A022,294,156
065A023,377,52
065A024,30,337
065A025,189,182
065A026,158,202
065A027,368,10
065A028,105,174
065A029,58,30
065A030,120,3
065A031,107,193
065A032,30,136
065A033,9,98
065A034,60,86
065A035,128,70
Ukupno,6808,4800
