"Biračko Mjesto","DRAGOLJUB BOROJEVIĆ - SOCIJALISTIČKA PARTIJA","GORAN BOROJEVIĆ - NEZAVISNI KANDIDAT","MILAN KOMLJENOVIĆ - SAVEZ ZA PROMJENE- KNEŽEVO"
068B001,129,367,117
068B002,111,267,100
068B003,116,322,131
068B004,124,343,184
068B005,18,20,19
068B006,79,286,100
068B007,48,147,20
068B008,19,49,17
068B009,31,83,3
068B010,31,67,14
068B011,57,111,28
068B012,41,149,91
068B013,71,102,28
068B014,88,195,50
068B015,60,34,27
068B016,55,147,46
068B017,168,297,111
068B018,169,254,84
068B019,17,60,111
068B020,119,241,65
068B021,50,61,22
068B022,38,29,11
Ukupno,1639,3631,1379
