"Biračko Mjesto","PREDRAG TEŠIĆ - SOCIJALISTIČKA PARTIJA","ĐURO KRČIĆ - DNS-DEMOKRATSKI NARODNI SAVEZ","GORAN KUŠLJIĆ - SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD","ČEDO TEPIĆ - NEZAVISNI KANDIDAT","AHMET ČIRKIĆ - SDA/SBB","ZDENKO SAKAN - SAVEZ ZA PROMJENE-KOTOR VAROŠ"
070B000,0,0,0,0,0,0
070B001,23,22,115,4,3,216
070B002,11,3,45,3,10,65
070B003,45,27,118,4,47,194
070B004,73,14,126,4,7,240
070B005,98,54,131,18,15,315
070B006,37,13,63,4,6,122
070B007A,16,4,84,3,91,159
070B007B,14,6,90,4,39,191
070B008,20,5,114,7,67,195
070B009,12,47,137,7,1,174
070B010A,44,21,172,4,0,310
070B010B,59,22,127,3,1,345
070B010C,41,19,115,4,0,188
070B011,27,11,35,0,100,55
070B012,6,2,35,1,0,66
070B013,16,2,83,3,0,104
070B014,23,74,224,0,0,206
070B015,10,16,36,2,74,91
070B016,1,2,17,0,1,71
070B017,34,40,93,12,13,188
070B018A,67,25,132,9,1,299
070B018B,54,22,154,9,1,277
070B018C,70,23,149,7,9,273
070B019,7,2,7,0,55,19
070B020,47,18,90,1,107,147
070B021,26,18,67,23,1,189
070B022,0,0,35,1,116,51
070B023,31,28,116,5,11,256
070B024,20,6,55,0,118,12
070B025,19,4,49,2,18,96
070B026,0,0,3,1,2,14
070B027,8,4,24,2,8,52
070B028,16,2,49,4,2,69
Ukupno,975,556,2890,151,924,5249
