"Biračko Mjesto","SUVAD KESIĆ - SDP-SOCIJALDEMOKRATSKA PARTIJA BIH","MATO ZOVKO - HDZ BIH - HRVATSKA DEMOKRATSKA ZAJEDNICA BIH","VINKO MARIĆ - HRVATSKA DEMOKRATSKA ZAJEDNICA 1990","NIKICA RADIĆ - NEZAVISNI KANDIDAT","KENAN KAHRIMAN - SDA/SBB"
075A001,0,366,51,11,0
075A002,0,359,51,24,1
075A003,31,32,0,3,140
075A004,1,99,1,14,0
075A005,93,56,2,18,291
075A006,1,261,8,47,0
075A007,13,318,12,20,90
075A008,2,385,12,11,9
075A009,44,19,1,7,438
075A010,1,241,6,8,3
075A011,52,158,37,16,112
075A012,81,96,4,9,220
075A013,22,361,22,34,34
075A014,81,82,2,9,210
075A015,0,119,13,7,3
075A016,6,216,39,13,28
075A017,3,241,1,27,0
075A018,1,183,38,22,0
075A019,0,169,3,10,0
075A020,2,133,7,31,2
075A021,1,246,3,3,1
075A022,0,219,33,31,1
075A023A,50,60,0,0,220
075A023B,55,43,0,3,199
075A024A,16,104,6,16,134
075A024B,8,132,12,31,53
075A025,51,28,0,4,382
075A026,62,173,15,27,69
075A027,0,233,7,35,0
075A028,64,15,3,1,314
075A029,81,158,12,13,80
075A030,43,175,6,6,87
075A031,9,68,5,4,2
075A032,0,119,1,16,0
075A033,0,218,4,37,0
075A034,10,34,0,24,80
075A035,97,106,12,13,138
075A036,0,112,1,3,0
Ukupno,981,6137,430,608,3341
