"Biračko Mjesto","SAMIR KAMENJAKOVIĆ - SDP-SOCIJALDEMOKRATSKA PARTIJA BIH","MERIMA ALJIĆ - SDU BIH-SOCIJALDEMOKRATSKA UNIJA BOSNE I HERCEGOVINE","ASIM ALJIĆ - SDA/SBB"
079A001,210,3,191
079A002,235,4,110
079A003,349,5,174
079A004,241,5,49
079A005A,308,0,75
079A005B,260,3,79
079A006,285,1,98
079A007,401,1,106
079A008A,291,1,79
079A008B,352,0,58
079A009A,326,1,41
079A009B,365,3,36
079A010,190,0,65
079A011A,399,2,97
079A011B,339,2,102
079A012,196,3,108
079A013,345,13,311
079A014,163,9,221
079A015,174,7,211
079A016,141,2,204
079A017,116,5,205
079A018,195,9,260
079A019,43,9,411
079A020,248,13,153
079A021,170,6,177
079A022,180,9,211
079A023,229,8,345
079A024,158,1,215
079A025,215,7,259
079A026,217,5,175
079A027,248,16,216
079A028,185,22,159
079A029,229,24,175
079A030,110,8,184
079A031,241,10,136
079A032,176,9,120
079A033,242,13,205
079A034,86,14,297
079A035A,53,7,264
079A035B,79,7,274
079A036,130,16,310
079A037,129,26,352
079A038,101,9,236
079A039,148,16,295
079A040,206,30,277
079A041A,166,18,259
079A041B,110,24,222
079A042,112,6,127
079A043,143,8,104
079A044,215,4,212
079A045,137,11,145
079A046,142,9,169
079A047,185,17,224
079A048A,134,7,142
079A048B,114,15,183
079A049,176,13,190
079A050,103,10,164
079A051,226,19,201
079A052A,116,11,119
079A052B,142,11,147
079A052C,176,8,113
079A053,80,16,203
079A054,145,4,167
079A055,203,9,234
079A056A,229,6,148
079A056B,213,7,121
079A056C,200,7,79
079A057,189,13,155
079A058,109,5,120
079A059,150,8,77
079A060,99,3,100
079A061,216,16,147
079A062,184,11,124
079A063A,204,9,190
079A063B,138,10,141
079A064A,146,8,136
079A064B,129,12,161
079A065,172,14,124
079A066,134,5,92
079A067,169,34,160
079A068A,61,9,81
079A068B,72,11,76
079A069,107,11,99
079A070,251,14,160
079A071,117,9,140
Ukupno,15818,806,14282
