"Biračko Mjesto","MUHAMED OSMANOVIĆ - SDP-SOCIJALDEMOKRATSKA PARTIJA BIH","SEAD DŽAFIĆ - NEZAVISNI KANDIDAT","RASIM OMEROVIĆ - NEZAVISNI KANDIDAT","ISMET MEŠIĆ - SDA/SBB"
080A001,161,134,9,78
080A002,146,132,12,105
080A003,134,138,24,101
080A004,136,89,15,85
080A005A,106,132,4,108
080A005B,111,108,7,76
080A006A,72,91,22,59
080A006B,61,102,13,94
080A007A,136,121,5,61
080A007B,83,129,7,138
080A007C,91,132,8,112
080A008,83,163,7,72
080A009A,135,115,12,181
080A009B,99,142,8,240
080A009C,107,112,20,138
080A010A,83,118,14,99
080A010B,79,85,17,49
080A011A,49,223,9,90
080A011B,54,305,6,90
080A011C,35,185,1,87
080A012A,171,220,15,143
080A012B,101,95,16,84
080A012C,70,129,10,66
080A013,15,9,1,12
080A014A,94,200,18,150
080A014B,56,70,23,132
080A014C,104,146,14,103
080A014D,76,175,23,55
080A015A,168,164,37,157
080A015B,127,89,37,164
080A015C,100,97,30,107
080A016A,160,118,22,125
080A016B,181,122,9,135
080A016C,148,93,16,152
080A016D,181,98,13,142
080A017A,131,138,4,150
080A017B,136,166,4,166
080A018A,58,63,7,137
080A018B,108,73,7,120
080A019,62,68,3,144
080A020,93,122,38,140
080A021,81,188,9,93
080A022,55,48,101,75
080A023A,176,78,21,80
080A023B,186,35,22,47
080A023C,141,28,38,42
080A024,120,31,21,106
080A025,40,35,13,102
080A026A,201,88,20,85
080A026B,151,60,7,69
080A027,98,83,12,70
Ukupno,5550,5885,831,5416
