"Biračko Mjesto","ZORAN STEVANOVIĆ - SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD","HADŽI JOVAN MITROVIĆ - SRPSKA NAPREDNA STRANKA","MILADIN JOVIĆ - NEZAVISNI KANDIDAT","DRAGAN KOJIĆ - SAVEZ ZA PROMJENE-ZVORNIK"
083B001,322,33,24,69
083B002A,165,13,4,28
083B002B,195,17,9,33
083B003,302,27,9,72
083B004,256,22,9,76
083B005,354,26,7,57
083B006,213,30,7,60
083B007,180,11,12,54
083B008,211,19,12,58
083B009,238,23,11,99
083B010,255,35,11,99
083B011,172,0,0,1
083B012,62,16,2,26
083B013,97,16,6,11
083B014,66,4,1,9
083B015,371,16,19,31
083B016,210,14,3,45
083B017,292,6,5,119
083B018,58,18,0,10
083B019,136,102,3,9
083B020A,444,24,10,49
083B020B,356,41,6,83
083B020C,336,28,4,73
083B020D,168,17,5,42
083B021,300,20,11,64
083B022,317,24,9,91
083B023,470,15,6,10
083B024,263,30,7,31
083B025,152,16,4,31
083B026,206,1,0,3
083B027,228,11,0,29
083B028,152,3,2,10
083B029,185,15,5,31
083B030,303,19,10,72
083B031,270,28,7,51
083B032A,162,15,7,46
083B032B,158,11,5,52
083B033A,263,74,1,35
083B033B,188,121,3,37
083B033C,272,91,4,36
083B034A,323,27,6,26
083B034B,255,49,1,15
083B034C,368,36,3,13
083B035,74,29,3,37
083B036,515,64,11,43
083B037A,120,14,3,7
083B037B,117,23,3,17
083B037C,104,13,3,16
083B038,248,19,12,94
083B039,416,15,1,22
083B040,126,6,0,27
083B041A,263,47,5,20
083B041B,224,9,7,10
083B042,430,3,8,5
083B043,284,29,2,22
083B044,540,15,22,14
083B045A,469,24,2,24
083B045B,361,20,5,29
083B046,401,5,0,5
083B047,85,23,5,9
083B048,81,6,0,34
083B049,337,6,2,14
083B050A,400,8,10,41
083B050B,378,23,2,38
083B051,449,39,1,128
083B052,466,14,12,80
083B053A,341,10,2,62
083B053B,423,15,3,81
083B054,215,6,0,76
083B055,103,3,0,1
083B056,339,51,14,55
083B057,121,25,1,4
083B058,124,41,2,13
083B059,174,2,0,19
083B060A,307,29,17,245
083B060B,224,13,14,161
083B060C,231,9,6,146
083B061,94,12,6,41
083B062A,280,53,4,164
083B062B,270,49,7,117
083B063A,137,17,0,242
083B063B,169,19,0,393
083B064,188,64,5,19
083B065,125,15,6,36
083B066,181,30,11,52
083B067,279,17,14,82
083B068,180,18,16,36
Ukupno,21687,2116,517,4677
