"Biračko Mjesto","MUHAMED ĆOSIĆ - STRANKA ZA BOSNU I HERCEGOVINU","SLAVKO SIKIRIĆ - SDP-SOCIJALDEMOKRATSKA PARTIJA BIH","BOJAN DOMIĆ - HDZ BIH - HRVATSKA DEMOKRATSKA ZAJEDNICA BIH","ADMIR HADŽIEMRIĆ - SDA/SBB"
091A001,49,100,4,251
091A002,34,23,0,296
091A003,48,14,0,103
091A004,41,33,1,155
091A005,71,57,0,341
091A006,52,48,8,215
091A007,11,47,272,12
091A008,68,15,5,181
091A009,99,38,0,169
091A010,91,31,2,179
091A011A,56,29,6,142
091A011B,57,25,2,142
091A012,33,29,14,104
091A013,0,217,199,0
091A014,0,88,178,1
091A015,108,7,60,142
091A016,24,47,187,30
091A017A,38,32,20,106
091A017B,31,27,20,83
091A018,26,70,16,151
091A019,3,60,125,45
091A020,68,56,78,167
091A021,70,85,19,223
091A022,47,76,26,173
091A023,44,114,29,193
091A024,60,62,37,203
091A025A,43,57,13,147
091A025B,43,31,27,96
091A026,27,40,13,120
091A027,57,57,5,185
091A028,88,54,7,241
091A029,58,28,34,149
091A030,95,38,28,253
091A031,2,34,439,5
091A032,0,33,385,2
091A033,0,8,156,0
091A034,2,32,419,6
091A035,0,28,387,3
091A036,0,15,203,1
091A037,50,10,21,176
091A038,38,19,218,101
091A039,201,17,23,181
091A040,197,18,10,192
091A041,0,1,178,7
091A042,43,0,22,107
091A043,197,25,1,199
091A044,124,22,12,188
091A045,163,5,2,121
091A046,118,0,0,160
091A047,90,0,0,45
091A048,263,1,1,176
091A049,337,27,0,154
091A050,406,3,0,77
091A051,76,71,26,217
091A052,48,65,34,139
091A053,36,42,14,141
091A054,41,14,121,145
091A055,172,5,9,296
091A056,71,43,65,108
091A057,59,5,2,147
091A058,96,9,3,197
091A059,49,76,39,150
091A060,28,39,68,90
091A061,36,23,11,86
091A062,7,11,152,33
091A063,14,19,39,79
091A064,109,46,1,150
091A065,38,10,1,142
091A066,56,39,5,77
091A067,28,53,21,131
091A068,6,17,223,2
091A069,64,9,3,153
091A070,2,0,45,1
Ukupno,4907,2629,4794,9383
