"Biračko Mjesto","FAIK UZUNOVIĆ - BPS-SEFER HALILOVIĆ","MIRSAD ĆIVIĆ - SDP-SOCIJALDEMOKRATSKA PARTIJA BIH","JOSIP ŠAIN - HRVATSKA DEMOKRATSKA ZAJEDNICA 1990","VILDANA DEDIĆ - NAŠA STRANKA","RAMO ISAK - A-SDA STRANKA DEMOKRATSKE AKTIVNOSTI","MIRAD HADŽIAHMETOVIĆ - NEZAVISNI KANDIDAT","HASAN HELVIDA - DEMOKRATSKA FRONTA","ELDIN VRAČE - SNAGA CENTRA","FUAD KASUMOVIĆ - NEZAVISNI KANDIDAT","NAIDIN AHMETSPAHIĆ - SDA/SBB"
093A001,11,8,0,1,18,0,5,18,252,265
093A002,8,3,10,6,28,2,6,43,72,73
093A003,3,21,2,3,21,1,2,23,192,78
093A004,15,16,0,3,24,2,0,7,281,225
093A005,2,2,0,0,42,0,0,1,106,232
093A006,14,23,24,12,9,3,10,109,147,77
093A007,5,13,3,15,5,3,9,54,83,60
093A008,8,19,14,10,6,2,12,57,91,62
093A009,16,26,18,14,10,1,21,76,139,90
093A010,10,21,11,17,26,1,11,116,97,94
093A011,5,11,11,11,7,2,14,65,90,41
093A012,4,3,12,13,20,1,18,98,91,42
093A013,13,10,16,25,14,1,9,113,96,50
093A014,14,17,35,13,14,2,6,93,87,60
093A015,11,13,7,23,7,1,12,90,122,70
093A016,16,20,20,38,7,3,15,112,124,82
093A017,5,8,8,37,13,2,9,88,123,61
093A018,13,8,9,14,7,0,6,94,126,74
093A019,12,8,10,16,6,1,7,58,98,50
093A020,15,10,8,14,8,1,9,99,142,92
093A021,4,10,18,12,4,0,11,67,102,49
093A022,4,24,10,24,6,1,14,113,129,88
093A023,13,26,15,15,21,0,8,90,138,86
093A024,4,46,15,25,9,2,10,68,118,96
093A025,13,29,13,11,20,2,9,92,116,76
093A026,5,22,12,16,11,2,10,58,89,80
093A027,8,31,8,12,11,2,11,94,115,62
