"Biračko Mjesto","TAIB BJELOPOLJAK - STRANKA ZA BOSNU I HERCEGOVINU","ADNAN ČOBO - SDP-SOCIJALDEMOKRATSKA PARTIJA BIH","IVO MAJSTOROVIĆ - HDZ BIH - HRVATSKA DEMOKRATSKA ZAJEDNICA BIH","NERMIN MANDRA - SDA/SBB"
094A001,50,79,24,279
094A002,7,12,2,219
094A003,5,21,2,179
094A004,17,10,0,315
094A005,27,141,51,246
094A006,1,11,106,51
094A007,24,28,4,344
094A008,10,23,108,100
094A009,47,111,14,301
094A010,43,44,3,201
094A011,23,10,0,185
094A012,26,85,20,290
094A013,21,62,1,423
094A014A,19,22,14,228
094A014B,6,15,6,199
094A015,19,92,15,284
094A016,22,89,7,401
094A017,7,3,2,116
094A018,1,20,7,234
094A019,32,49,0,93
094A020,17,40,1,230
094A021,12,25,122,109
094A022,27,106,24,310
094A023,9,6,3,178
094A024,4,24,95,45
094A025,3,26,3,136
094A026,61,64,7,418
094A027,23,20,0,232
094A028,17,24,7,343
094A029,5,25,74,90
094A030,36,65,9,258
094A031,17,51,6,253
094A032,31,22,4,186
094A033,4,12,0,135
094A034,5,8,2,153
094A035,28,73,9,328
094A036,10,50,3,225
094A037,11,18,19,105
094A038,15,8,57,29
094A039,16,87,5,209
094A040,22,73,1,384
094A041,33,89,27,218
094A042,9,36,4,218
094A043,19,65,25,179
094A044,4,4,0,104
094A045,42,50,4,329
094A046,26,69,13,310
094A047,14,120,15,297
094A048,28,42,2,237
094A049,9,55,15,222
094A050,41,69,11,308
094A051,21,34,13,199
094A052,11,15,13,140
094A053,23,71,15,188
094A054,20,47,11,206
094A055,4,18,3,167
094A056,10,40,12,280
094A057,8,42,4,178
094A058,25,42,18,197
Ukupno,1127,2662,1042,13021
