"Biračko Mjesto","ZDRAVKO MAROŠEVIĆ - HDZ BIH - HRVATSKA DEMOKRATSKA ZAJEDNICA BIH","AHMED BOTIĆ - DEMOKRATSKA FRONTA","AVDIJA KOVAČEVIĆ - SDA/SBB"
095A000,0,0,0
095A001,196,50,54
095A002,196,75,114
095A003,124,31,51
095A004,200,68,78
095A005,104,15,21
095A006,75,74,113
095A007,98,11,36
095A008,90,89,221
095A009,76,83,119
095A010,44,18,122
095A011,112,7,2
095A012,142,5,24
095A013,48,21,93
095A014,75,58,178
095A015,20,24,62
095A016,112,2,0
095A017,19,11,43
095A018,64,32,97
095A019,67,0,0
095A020,121,98,100
Ukupno,1983,772,1528
