"Biračko Mjesto","FUAD IMAMOVIĆ - STRANKA ZA BOSNU I HERCEGOVINU","DŽEVAD MEŠANOVIĆ - SDP-SOCIJALDEMOKRATSKA PARTIJA BIH","JUSUF ČAVKUNOVIĆ - SDA/SBB"
098A001,229,1,347
098A002,118,5,227
098A003,24,1,203
098A004,64,3,210
098A005,90,6,203
098A006,51,2,175
098A007,26,5,228
098A008,140,5,142
098A009,181,9,109
098A010,265,9,197
098A011,68,2,84
098A012,211,37,272
098A013,249,9,103
098A014,98,8,227
098A015,119,10,219
098A016,104,3,221
098A017,70,0,118
098A018,90,8,407
098A019,140,10,139
098A020,86,5,253
098A021,132,13,277
098A022,89,8,208
Ukupno,2644,159,4569
