"Biračko Mjesto","SAVO ČELIKOVIĆ - SDS-SRPSKA DEMOKRATSKA STRANKA","JUSUF SARAČEVIĆ - SDA-STRANKA DEMOKRATSKE AKCIJE","MIROSLAV KRALJEVIĆ - SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD"
103B001,140,6,250
103B002,199,5,293
103B003,223,4,316
103B004,179,5,279
103B005,168,2,237
103B006,211,3,174
103B007,47,6,156
103B008,65,36,136
103B009,165,7,334
103B010,119,6,139
103B011,104,0,103
103B012,87,0,267
103B013,91,0,143
103B014,84,0,148
103B015,24,34,15
103B016,37,29,56
103B017,280,3,369
Ukupno,2223,146,3415
