"Biračko Mjesto","MUHAMED SULJIĆ - SDP-SOCIJALDEMOKRATSKA PARTIJA BIH","DRAGO RADOVIĆ - DNS-DEMOKRATSKI NARODNI SAVEZ","PETKO RANKIĆ - SRPSKA NAPREDNA STRANKA","SALIH DUBIČIĆ - SDA/SBB","NEDELJKO MLAĐENOVIĆ - SAVEZ ZA PROMJENE-BRATUNAC"
104B001,0,112,81,0,228
104B002,11,42,4,90,35
104B003,1,33,32,25,122
104B004,0,41,51,9,146
104B005,0,61,25,0,82
104B006,4,23,94,7,93
104B007,0,41,86,3,181
104B008,1,22,26,1,82
104B009,1,118,140,11,182
104B010,1,89,200,17,188
104B011,3,56,119,6,80
104B012A,1,95,127,2,140
104B012B,0,48,102,0,81
104B013,0,88,130,8,146
104B014,2,99,121,3,193
104B015,1,116,162,13,187
104B016,7,39,104,36,93
104B017,0,30,27,4,98
104B018,1,37,99,2,74
104B019,1,116,134,2,142
104B020,2,85,146,30,101
104B021,5,10,32,66,15
104B022,9,28,32,153,83
104B023,0,51,43,30,115
104B024A,1,105,159,2,164
104B024B,0,89,159,1,164
104B025,0,30,39,1,64
104B026,25,8,6,133,10
104B027,0,45,63,0,46
104B028,5,50,74,11,115
104B029,10,66,89,25,93
104B030,18,96,10,74,10
104B031,16,45,5,40,14
Ukupno,126,2014,2721,805,3567
