"Biračko Mjesto","ĆAMIL DURAKOVIĆ - NEZAVISNI KANDIDAT","DESNICA RADIVOJEVIĆ - NEZAVISNI KANDIDAT","MLADEN GRUJIČIĆ - ZAJEDNO ZA SREBRENICU"
105B000,19,0,9
105B001,91,0,98
105B002,159,0,286
105B003A,45,0,265
105B003B,28,0,280
105B003C,23,0,273
105B004,58,0,53
105B005,99,1,230
105B006,155,0,8
105B007,263,0,341
105B008,317,4,2
105B009,142,2,57
105B010,35,0,115
105B011,61,0,267
105B012A,21,1,240
105B012B,21,2,275
105B012C,21,1,270
105B013,20,0,176
105B014,32,0,263
105B015,9,1,398
105B016,14,0,78
105B017,86,1,0
105B018,34,0,75
105B019,74,0,3
105B020,10,0,74
105B021,64,0,2
105B022,13,1,212
Ukupno,1914,14,4350
