"Biračko Mjesto","LUKA ČELAN - HDZ BIH - HRVATSKA DEMOKRATSKA ZAJEDNICA BIH","BOŽO PERIĆ - HRVATSKA DEMOKRATSKA ZAJEDNICA 1990"
106A001A,113,134
106A001B,88,137
106A002A,110,103
106A002B,82,104
106A003,50,52
106A004,116,156
106A005,119,159
106A006,102,167
106A007,103,155
106A008,88,120
106A009,350,103
106A010,262,83
106A011,344,168
106A012,191,57
106A013,185,33
106A014,85,99
106A015,160,87
106A016,101,73
106A017,45,196
106A018,222,157
106A019,197,189
106A020,102,117
106A021,82,143
106A022,116,167
106A023,127,205
106A024,88,204
106A025,284,170
106A026,107,113
106A027A,100,120
106A027B,73,94
106A028,93,139
106A029,29,75
106A030,82,103
106A031,76,107
106A032,33,46
106A033,413,87
106A034,103,106
106A035,20,124
106A036,114,87
Ukupno,5155,4739
