"Biračko Mjesto","ZDENKO ANTUNOVIĆ - HDZ BIH - HRVATSKA DEMOKRATSKA ZAJEDNICA BIH","HASAN AJKUNIĆ - NEZAVISNI KANDIDAT","ASMIR KARADŽA - NEZAVISNI KANDIDAT","HARIS MUJIĆ - SDA/SBB"
109A001,38,215,140,127
109A002,19,147,107,73
109A003,31,103,47,61
109A004,21,123,76,51
109A005,28,129,82,93
109A006,12,138,110,88
109A007,13,122,116,73
109A008,11,127,67,59
109A009,38,237,121,77
109A010,52,53,19,20
109A011,0,88,51,40
109A012,31,290,135,41
109A013,16,156,67,73
109A014,18,335,138,102
109A015,4,154,207,113
109A016,64,130,94,95
109A017,4,242,102,34
109A018,21,317,95,48
109A019,2,412,176,49
109A020A,11,143,132,50
109A020B,5,151,151,90
109A020C,14,141,131,68
109A021,68,188,105,37
109A022,6,192,75,74
109A023,92,84,9,8
109A024,140,88,35,12
109A025,30,97,57,39
109A026,31,231,119,110
109A027,10,115,78,104
109A028,45,189,122,115
109A029,6,134,64,83
109A030,10,171,79,51
109A031,46,183,75,68
109A032,7,208,129,113
109A033,7,123,33,34
109A034A,2,117,68,77
109A034B,0,149,86,68
109A035,45,37,16,13
109A036,19,55,42,45
109A037,49,172,129,64
109A038,43,127,125,75
109A039,16,119,48,73
109A040,2,30,81,23
Ukupno,1127,6762,3939,2811
