"Biračko Mjesto","EDIN GEKIĆ - SDP-SOCIJALDEMOKRATSKA PARTIJA BIH","SEAD ČAUŠEVIĆ - SDA/SBB","DRAŽEN MATIŠIĆ - HRVATSKA KOALICIJA (HDZBIH,HDZ1990,HSS STJEPANA RADIĆA)"
110A000,0,1,0
110A001,57,206,14
110A002,124,224,60
110A003,93,248,3
110A004,17,193,36
110A005,47,317,6
110A006,31,291,8
110A007,10,234,10
110A008,96,238,31
110A009,134,251,19
110A010,2,3,221
110A011,13,3,352
110A012,6,2,287
110A013,46,219,96
110A014,3,2,351
110A015,11,96,209
110A016,0,1,106
110A017,117,323,19
110A018,56,254,34
110A019,2,44,295
110A020A,33,189,120
110A020B,19,85,88
110A021,64,208,142
110A022,21,376,5
110A023,59,137,184
110A024,21,310,100
110A025,98,222,9
110A026,57,96,309
Ukupno,1237,4773,3114
