"Biračko Mjesto","BESIM BELEGIĆ - SDP-SOCIJALDEMOKRATSKA PARTIJA BIH","STJEPAN DUJO - HRVATSKA LISTA ZA NOVI TRAVNIK","REFIK LENDO - SDA/SBB"
111A001,1,289,1
111A002,0,388,1
111A003,0,415,2
111A004,12,408,109
111A005,12,213,18
111A006,14,368,15
111A007,20,333,74
111A008,20,372,76
111A009,17,202,87
111A010,11,325,17
111A011,36,18,159
111A012,60,8,255
111A013,64,14,451
111A014,73,19,446
111A015,53,41,397
111A016,79,11,279
111A017,50,16,262
111A018,86,9,424
111A019,33,145,186
111A020,67,37,341
111A021,53,16,446
111A022,2,257,23
111A023,67,31,430
111A024,56,28,343
111A025,0,292,0
111A026,8,322,50
111A027,52,44,234
111A028,42,70,244
111A029,0,92,0
111A030,16,316,55
Ukupno,1004,5099,5425
