"Biračko Mjesto","ADVAN AKELJIĆ - SDA/SBB","TOMISLAV BOŠNJAK-MATIĆ - KOALICIJA HDZ BIH, HDZ 1990, HSS STJEPANA RADIĆA"
112A001,338,11
112A002,35,291
112A003,92,166
112A004,129,147
112A005,75,215
112A006,63,420
112A007,318,7
112A008,597,12
112A009A,101,262
112A009B,217,127
112A010A,58,218
112A010B,22,282
112A011,69,201
112A012,237,81
112A013A,387,80
112A013B,314,63
112A014,231,365
112A015,4,284
112A016A,140,167
112A016B,250,88
112A017A,17,392
112A017B,48,259
112A018A,2,295
112A018B,7,270
112A019,30,445
112A020,188,176
112A021,173,299
112A022,269,2
112A023,258,1
112A024,53,352
112A025,42,248
112A026,27,374
112A027,208,3
112A028,415,14
112A029,40,223
112A030,41,183
112A031,241,10
Ukupno,5736,7033
