"Biračko Mjesto","REFIK LUŠIJA - SDP-SOCIJALDEMOKRATSKA PARTIJA BIH","MIRJANA PLAVČIĆ - HDZ BIH - HRVATSKA DEMOKRATSKA ZAJEDNICA BIH","ASIM MEKIĆ - SDA/SBB"
113A001,6,180,183
113A002,9,362,109
113A003,20,120,165
113A004,13,240,100
113A005,12,215,129
113A006,7,297,53
113A007,2,357,4
113A008,10,178,85
113A009,2,315,140
113A010,5,73,290
113A011,26,11,204
113A012,33,9,316
113A013,44,4,374
113A014,0,312,10
113A015A,34,24,440
113A015B,30,25,415
113A016,3,359,3
113A017,16,182,103
113A018,30,39,144
113A019,7,212,66
113A020,11,198,37
113A021,7,1,269
113A022,74,4,387
113A023,28,114,167
113A024,11,3,305
Ukupno,440,3834,4498
