"Biračko Mjesto","ISMAR BRATIĆ - SDP-SOCIJALDEMOKRATSKA PARTIJA BIH","SABAHUDIN KLISURA - SDA/SBB","SUZANA LOVRIĆ - HDZ BIH, HSS STJEPANA RADIĆA - NAČELNIK ZA BOLJU FOJNICU"
114A001,58,131,101
114A002,77,144,79
114A003,112,389,0
114A004,19,32,166
114A005,54,311,5
114A006,43,183,0
114A007,129,370,55
114A008,83,211,145
114A009,13,26,304
114A010,72,167,37
114A011,24,45,243
114A012,64,325,8
114A013,52,120,61
114A014,72,199,46
114A015,42,235,47
114A016,41,330,4
114A017,44,100,58
114A018,67,54,168
Ukupno,1066,3372,1527
