"Biračko Mjesto","ERMIN DLAKIĆ - SDP-SOCIJALDEMOKRATSKA PARTIJA BIH","REFIK KURGAŠ - A-SDA STRANKA DEMOKRATSKE AKTIVNOSTI","AMRA BABIĆ - NEZAVISNI KANDIDAT","HALIM ZUKIĆ - SDA/SBB"
116A000,0,0,0,0
116A001,21,33,411,113
116A002,17,5,222,84
116A003,18,16,224,248
116A004,32,9,217,206
116A005,25,25,269,129
116A006,15,153,368,136
116A007,32,55,340,51
116A008,16,15,254,84
116A009,16,9,480,74
116A010,1,17,235,82
116A011,5,43,359,84
116A012,7,32,232,106
116A013,12,22,474,95
116A014,10,26,370,88
116A015,34,61,268,187
116A016,172,45,151,76
116A017,16,27,204,50
116A018,40,21,255,167
116A019,60,15,256,182
116A020,62,29,267,205
116A021,6,46,174,97
116A022,47,65,237,143
116A023,17,20,193,102
116A024,10,174,176,94
116A025,8,14,211,139
116A026,4,7,91,59
116A027,9,37,295,132
116A028,13,52,250,47
116A029,43,11,249,171
116A030,33,16,233,154
116A031,33,18,150,185
116A032,23,16,209,309
116A033,26,13,223,210
116A034,17,7,287,236
116A035,16,8,263,99
116A036,21,21,273,98
116A037,3,3,101,24
116A038,9,8,327,76
116A039,12,59,109,44
116A040,10,52,196,67
116A041,22,5,219,100
116A042,24,14,339,66
116A043,13,31,225,83
116A044,6,33,113,57
116A045,4,24,177,42
116A046,10,0,117,111
116A047,5,13,475,57
116A048,17,18,325,109
116A049,23,144,212,117
116A050,13,51,185,95
116A051,39,13,193,169
116A052,12,6,226,70
Ukupno,1159,1657,12909,6009
