"Biračko Mjesto","ENES DURAK - NEZAVISNI KANDIDAT","AKIF FAZLIĆ - SDA/SBB"
118A001,134,161
118A002,151,207
118A003,198,187
118A004,163,236
118A005,174,211
118A006,74,182
118A007A,112,185
118A007B,83,212
118A008,101,277
118A009,92,274
118A010,92,266
118A011,70,153
118A012,118,287
118A013,57,336
118A014A,77,361
118A014B,47,296
118A015,84,99
118A016,41,124
118A017,37,146
118A018,118,287
118A019,122,263
118A020,130,324
118A021,143,370
118A022A,182,190
118A022B,123,173
118A023,120,225
118A024,269,183
118A025,134,141
118A026,57,152
118A027,79,64
118A028,236,197
118A029,89,66
Ukupno,3707,6835
