"Biračko Mjesto","IVAN VUKADIN - HDZ BIH - HRVATSKA DEMOKRATSKA ZAJEDNICA BIH","IVAN KRSTANOVIĆ - HRVATSKA NEZAVISNA LISTA"
124A001,134,92
124A002,132,82
124A003,134,79
124A004,56,18
124A005A,53,209
124A005B,50,256
124A006,132,99
124A007,263,57
124A008,114,35
124A009,105,56
124A010,120,126
124A011,207,95
124A012,228,74
124A013,113,79
124A014,84,68
124A015,101,77
124A016,167,133
124A017,169,171
124A018,298,79
124A019,190,107
124A020,185,120
124A021,17,148
124A022,70,65
124A023,169,123
124A024,101,125
124A025,192,140
124A026,207,23
124A027,164,31
124A028,84,29
124A029,99,58
Ukupno,4138,2854
