"Biračko Mjesto","ANTE PAVLIČEVIĆ - HDZ BIH - HRVATSKA DEMOKRATSKA ZAJEDNICA BIH","SMAJO HELJIĆ - SDA-STRANKA DEMOKRATSKE AKCIJE","JOZO IVANČEVIĆ - HRVATSKA DEMOKRATSKA ZAJEDNICA 1990"
125A001,136,46,219
125A002,173,16,283
125A003,170,85,142
125A004,84,16,116
125A005,16,12,39
125A006,106,0,138
125A007,6,0,18
125A008,13,0,16
125A009,150,0,234
125A010,45,48,74
125A011,146,0,193
125A012,45,4,105
125A013,51,40,19
125A014,65,18,29
125A015,46,7,112
125A016,54,1,44
125A017A,172,0,169
125A017B,165,0,172
125A018,88,5,149
125A019,130,1,136
125A020,144,1,203
125A021,109,10,197
125A022,9,9,1
125A023,59,0,116
125A024,38,13,15
125A025,97,69,78
125A026,60,20,83
125A027,17,8,66
125A028,22,40,4
125A029,31,29,19
125A030,5,16,9
125A031,120,11,156
125A032,9,6,6
Ukupno,2581,531,3360
