"Biračko Mjesto","NAZIF NIKŠIĆ - BPS-SEFER HALILOVIĆ","MUSTAFA ALIKADIĆ - SDP-SOCIJALDEMOKRATSKA PARTIJA BIH","EMIR BUBALO - SDA/SBB"
127A000,0,0,0
127A001,75,86,145
127A002,116,118,208
127A003,68,45,149
127A004,112,142,180
127A005,80,96,116
127A006,89,116,139
127A007,76,133,136
127A008,140,118,209
127A009,69,103,103
127A010,73,54,139
127A011,22,14,32
127A012A,85,65,153
127A012B,94,66,196
127A013,50,53,162
127A014,79,2,71
127A015,93,42,181
127A016,18,21,113
127A017,2,4,8
127A018,86,92,288
127A019,15,4,135
127A020,101,33,229
127A021,18,6,100
127A022,60,16,106
127A023,116,52,272
127A024,22,32,79
127A025,44,41,203
127A026,93,50,155
127A027,127,30,162
127A028,39,9,130
127A029,23,9,70
127A030,40,54,129
127A031,29,27,99
127A032,166,128,217
127A033,46,41,184
127A034,140,171,171
127A035,110,117,154
127A036,40,42,203
127A037,6,5,32
127A038,26,0,10
127A039,0,14,86
127A040,11,5,19
127A041,28,23,47
127A042,22,6,132
127A043,19,27,38
127A044,0,13,8
127A045,87,70,134
127A046,25,28,90
127A047,17,19,111
127A048,13,18,72
127A049,8,9,15
127A050,9,4,62
127A051,97,81,151
Ukupno,3024,2554,6533
