"Biračko Mjesto","ŠAHZIJA MRKONJA - BPS-SEFER HALILOVIĆ","MUHAMED KUBAT - STRANKA ZA BOSNU I HERCEGOVINU","ELVIS HADŽIĆ - SDP-SOCIJALDEMOKRATSKA PARTIJA BIH","ANES MAŠIĆ - NAŠA STRANKA","EDIN TURSUNOVIĆ - DEMOKRATSKA FRONTA","IRFAN ĐALTUR - PRVA STRANKA","SENAID MEMIĆ - SDA/SBB"
131A001,28,10,32,23,36,15,188
131A002,14,8,17,18,17,13,138
131A003,9,6,16,16,18,12,131
131A004,10,0,9,28,16,11,141
131A005,4,5,9,23,13,2,118
131A006,14,6,17,26,15,16,162
131A007,14,12,12,26,36,20,141
131A008,15,10,13,13,22,14,142
131A009,7,3,9,10,14,20,125
131A010,2,66,45,22,19,21,151
131A011,11,60,27,11,23,16,203
131A012,1,37,11,18,10,12,111
131A013,5,48,23,9,18,19,76
131A014,6,65,24,20,43,9,121
131A015,8,69,18,20,21,14,174
131A016,6,71,26,7,18,20,158
131A017,11,59,34,26,11,26,176
131A018,12,22,20,12,12,61,173
131A019,10,18,37,17,29,52,204
131A020,5,23,20,18,20,55,174
131A021,10,28,15,30,28,69,146
131A022,4,19,25,13,18,88,186
131A023,3,13,16,30,32,80,163
131A024,7,15,6,14,22,98,209
131A025,11,13,30,24,31,49,195
131A026,12,18,33,14,33,36,163
131A027,10,20,35,27,27,42,180
131A028,16,20,28,15,26,17,243
131A029,9,19,32,30,22,45,254
131A030,10,20,19,23,34,35,258
131A031,3,21,32,17,26,31,191
131A032,6,28,28,30,20,46,241
131A033,4,5,58,39,17,13,64
131A034,7,8,47,44,24,23,97
131A035,8,11,48,34,29,18,92
131A036,6,16,71,35,24,21,111
131A037,11,17,51,47,24,17,93
131A038,14,9,36,27,24,14,109
131A039,5,9,45,29,24,7,94
131A040,8,6,57,51,33,14,72
131A041,13,6,57,37,26,21,102
131A042,3,6,54,45,29,29,113
131A043,11,12,48,50,35,19,113
131A044,6,4,43,32,30,21,83
131A045,8,10,49,38,42,9,93
131A046,5,11,10,12,34,10,113
131A047,8,12,8,25,32,2,96
131A048,8,5,17,19,33,6,156
131A049,5,24,16,19,21,6,207
131A050,5,7,22,12,12,14,178
131A051,9,10,22,25,23,11,159
131A052,6,23,20,24,12,19,139
131A053,6,19,34,11,48,4,151
131A054,11,7,39,43,28,9,110
131A055,8,5,14,24,28,10,88
131A056,6,7,17,27,24,6,94
131A057,6,7,19,41,26,7,114
131A058,6,1,24,35,35,23,117
131A059,9,15,40,82,32,18,129
131A060,6,8,37,30,23,7,166
131A061,9,8,21,50,17,10,240
131A062,13,2,20,26,18,3,176
131A063,5,6,8,31,30,2,207
131A064,4,10,32,25,27,20,142
131A065,12,8,42,28,19,11,166
131A066,17,20,18,16,17,10,197
131A067,7,41,23,26,51,19,206
131A068,9,9,53,21,18,25,169
131A069,11,14,25,21,30,6,83
131A070,5,22,31,14,11,20,129
131A071,3,14,54,33,24,19,126
131A072,10,33,24,15,27,14,205
131A073,10,12,33,21,21,8,115
131A074,3,24,24,20,19,27,167
131A075,12,7,9,17,23,6,83
131A076,15,6,21,27,29,12,102
131A077,4,7,33,43,24,6,83
131A078,4,5,48,18,17,5,127
131A079,11,15,57,10,20,11,156
131A080,8,8,48,23,27,10,88
131A081,12,4,33,25,30,6,94
131A082,5,5,79,10,21,2,49
131A083,6,5,50,27,26,19,171
131A084,7,8,35,23,30,10,86
131A085,5,13,39,58,42,11,164
131A086,11,5,38,26,38,11,101
131A087,1,7,12,20,17,2,50
131A088,6,8,32,40,44,7,75
131A089,3,4,11,21,18,18,47
131A090,12,19,15,11,23,15,126
131A091,11,20,31,28,17,16,107
131A092,13,9,33,27,12,23,99
131A093,9,5,19,24,14,7,63
131A094,12,11,29,43,52,10,86
131A095,4,7,22,26,30,7,104
Ukupno,790,1513,2823,2461,2385,1850,13078
