"Biračko Mjesto","IZET BIJEDIĆ - BPS-SEFER HALILOVIĆ","EDITA SULEJMANOVIĆ - SDP-SOCIJALDEMOKRATSKA PARTIJA BIH","LEJLA BRČIĆ - NAŠA STRANKA","GORAN KOVAČEVIĆ - DEMOKRATSKA FRONTA","SEAD MURATOVIĆ - PRVA STRANKA","VEDRAN ZUBIĆ - SDF BIH","SEMIR EFENDIĆ - SDA/SBB"
133A001,2,21,59,81,0,3,91
133A002,5,24,53,74,1,5,106
133A003,4,27,35,74,2,5,134
133A004,6,24,45,52,1,7,83
133A005,1,31,13,37,7,2,111
133A006,9,20,11,62,3,1,193
133A007,11,21,14,20,4,3,235
133A008,13,23,19,54,1,2,112
133A009,12,18,10,15,8,2,195
133A010,7,18,34,51,2,9,110
133A011,2,26,33,70,2,6,121
133A012,6,36,40,77,4,8,100
133A013,10,36,49,69,2,4,119
133A014,7,15,42,66,1,8,112
133A015,4,48,45,50,3,5,111
133A016,11,24,53,83,0,3,83
133A017,5,21,72,92,1,3,108
133A018,7,21,56,63,4,4,105
133A019,3,20,21,48,3,6,163
133A020,6,26,22,38,4,5,162
133A021,11,23,9,54,3,5,196
133A022,10,22,23,54,2,6,118
133A023,7,19,9,35,4,4,154
133A024,20,12,7,31,2,5,284
133A025,18,18,2,17,3,7,232
133A026,5,12,15,31,7,4,230
133A027,21,17,10,29,3,2,298
133A028,7,9,9,34,2,3,223
133A029,7,9,16,27,1,2,226
133A030,13,7,9,34,1,3,248
133A031,5,43,31,57,5,3,135
133A032,4,28,24,55,1,8,124
133A033,4,26,19,58,6,4,138
133A034,6,30,20,56,1,4,170
133A035,4,13,28,78,1,6,125
133A036,5,25,32,56,2,8,125
133A037,4,19,25,52,1,4,118
133A038,6,23,35,40,4,4,161
133A039,8,24,25,56,3,9,158
133A040,5,23,10,66,2,5,162
133A041,9,24,15,42,8,10,172
133A042,6,21,24,41,0,7,213
133A043,1,23,22,41,3,3,183
133A044,16,25,39,79,4,7,192
133A045,8,25,22,76,5,8,145
133A046,8,24,37,63,6,11,148
133A047,13,22,30,54,3,2,221
133A048,11,26,23,48,3,7,175
133A049,5,29,41,50,7,8,134
133A050,5,26,28,69,7,11,165
133A051,9,42,31,89,2,8,157
133A052,8,15,37,59,9,9,109
133A053,8,21,20,53,6,3,152
133A054,7,27,27,58,0,8,148
133A055,8,32,33,66,4,7,167
133A056,9,35,29,53,3,11,116
133A057,3,25,27,43,9,5,115
133A058,8,28,45,60,6,3,118
133A059,10,31,28,82,2,4,118
133A060,9,13,28,78,8,12,173
133A061,5,24,31,66,7,21,183
133A062,6,32,39,64,21,37,169
133A063,2,37,42,88,17,25,237
133A064,4,32,34,62,14,29,171
133A065,9,20,44,61,14,33,242
133A066,9,16,43,56,31,31,267
133A067,5,29,37,53,28,39,131
133A068,3,45,41,60,21,25,133
133A069,6,13,22,62,7,17,125
133A070,9,25,43,70,9,26,118
133A071,2,25,34,67,34,34,106
133A072,3,22,36,51,40,33,151
133A073,8,19,23,42,27,30,162
133A074,7,21,34,52,15,17,126
133A075,5,32,26,54,23,32,190
133A076,7,18,19,44,34,26,124
133A077,7,22,22,62,6,34,175
133A078,8,18,27,51,6,19,178
133A079,7,18,25,63,15,53,175
133A080,1,24,26,51,22,20,118
133A081,4,32,18,62,12,30,179
133A082,8,19,31,68,7,19,129
133A083,8,33,36,69,14,25,168
133A084,5,15,22,74,13,22,154
133A085,8,27,27,72,34,37,176
133A086,9,30,38,55,7,33,159
133A087,3,13,42,62,13,25,167
133A088,3,27,22,73,24,26,157
133A089,5,37,45,77,19,44,154
133A090,5,20,30,67,17,48,126
133A091,8,28,43,38,1,7,200
133A092,5,30,18,65,5,9,171
133A093,9,46,16,39,7,9,174
133A094,8,36,15,57,10,12,238
133A095,7,17,25,44,2,6,196
133A096,7,17,12,31,5,2,99
133A097,22,29,15,16,2,10,236
133A098,6,26,31,45,0,7,203
133A099,8,5,7,13,3,2,346
133A100,9,8,9,11,0,6,284
133A101,10,6,10,21,2,2,340
133A102,7,12,16,37,1,4,239
133A103,7,6,3,18,2,1,284
133A104,16,7,9,15,3,8,284
133A105,20,12,6,12,3,0,348
133A106,6,18,19,31,10,2,192
133A107,6,25,10,14,0,1,306
133A108,8,27,29,20,3,4,254
133A109,6,9,7,31,1,1,231
133A110,6,5,6,25,1,0,328
133A111,2,8,14,12,3,2,204
133A112,4,18,14,22,1,4,343
133A113,7,10,4,29,0,6,186
133A114,6,21,21,38,3,5,224
133A115,7,11,2,33,1,5,312
133A116,6,8,5,24,0,4,321
133A117,6,15,0,16,1,0,386
133A118,7,7,2,11,1,5,346
133A119,4,7,1,15,0,4,309
133A120,3,5,6,19,0,0,323
133A121,1,8,6,24,0,4,283
133A122,6,8,4,7,0,0,236
133A123,9,7,3,19,0,1,344
133A124,3,17,12,23,2,0,285
133A125,8,12,6,34,0,1,345
133A126,6,11,5,22,1,2,337
133A127,4,15,3,13,1,2,335
133A128,4,13,6,20,0,3,400
133A129,1,12,2,8,0,0,415
133A130,0,7,5,20,1,1,315
133A131,9,10,3,17,0,3,435
133A132,4,15,7,9,6,1,365
133A133,10,25,11,30,3,1,403
133A134,9,16,14,18,4,4,318
133A135,10,13,5,27,2,2,400
133A136,4,11,4,14,4,1,329
133A137,9,11,1,13,4,3,222
133A138,2,20,4,23,1,1,278
133A139,2,9,5,28,1,9,228
133A140,3,2,4,15,11,1,139
133A141,2,8,8,9,2,4,312
133A142,12,15,11,19,7,1,268
133A143,8,8,7,32,8,2,330
133A144,4,19,9,21,5,1,269
133A145,7,19,5,20,9,3,280
Ukupno,1003,2951,3154,6445,896,1400,29928
