"Biračko Mjesto","SAFET BALTIĆ - BPS-SEFER HALILOVIĆ","IGOR KAMOČAJI - SDP-SOCIJALDEMOKRATSKA PARTIJA BIH","ADMIR BUKVA - NAŠA STRANKA","SAMER REŠIDAT - DEMOKRATSKA FRONTA","AMER BEKAN - PRVA STRANKA","DAMIR NIKŠIĆ - NEZAVISNI KANDIDAT","VLASTIMIR MIJOVIĆ - NEZAVISNI KANDIDAT","REUF BAJROVIĆ - GRAĐANSKI SAVEZ (GS)","NEDŽAD AJNADŽIĆ - SDA/SBB"
136A001,6,84,16,55,2,21,9,34,78
136A002,6,41,36,77,1,39,9,39,108
136A003,3,52,31,71,2,27,5,33,116
136A004,6,42,18,79,2,43,16,56,89
136A005,1,8,10,30,0,15,4,15,115
136A006,3,26,9,53,3,22,5,12,246
136A007,7,14,6,40,1,10,6,23,191
136A008,9,27,8,39,0,9,6,10,244
136A009,4,30,23,62,2,33,6,27,206
136A010,1,41,30,50,0,39,12,74,49
136A011,3,52,24,87,1,52,23,83,88
136A012,1,32,27,97,0,34,14,60,92
136A013,1,38,21,51,1,21,11,32,101
136A014,8,58,32,54,3,42,16,53,136
136A015,3,49,28,84,1,46,14,47,106
136A016,6,32,28,45,2,29,12,23,49
136A017,0,70,27,59,0,51,24,53,49
136A018,2,80,29,58,0,48,14,44,60
136A019,2,65,44,60,0,39,12,45,70
136A020,3,42,26,84,1,40,13,41,87
136A021,0,28,18,57,3,34,15,15,56
136A022,1,25,22,35,0,44,4,23,46
136A023,1,12,7,25,0,20,4,6,69
136A024,0,45,34,71,1,23,20,37,52
136A025,1,36,27,30,2,28,2,21,41
136A026,9,54,30,52,2,39,10,26,37
136A027,3,66,32,64,1,36,15,40,88
136A028,2,60,37,49,0,41,16,20,66
136A029,9,17,3,90,2,14,2,21,145
136A030,5,27,3,98,10,23,6,18,206
136A031,6,32,5,49,2,17,3,19,204
136A032,2,18,11,56,1,16,8,14,142
136A033,8,45,20,62,0,45,3,40,159
136A034,6,24,18,70,1,24,7,45,140
136A035,0,2,0,12,1,0,0,2,8
136A036,8,69,21,62,2,35,14,15,111
136A037,8,53,40,67,3,42,23,37,73
136A038,6,49,28,67,1,40,7,40,102
136A039,5,45,33,64,1,45,21,30,79
136A040,5,57,26,58,3,36,16,24,61
136A041,5,29,22,52,2,26,8,21,95
136A042,4,31,16,50,0,27,7,17,66
136A043,4,45,21,57,0,45,14,32,91
136A044,5,37,10,34,0,26,9,27,47
136A045,2,92,23,40,1,30,11,23,69
136A046,3,61,16,31,3,26,14,34,48
136A047,1,52,24,37,0,27,15,30,46
136A048,1,55,11,45,0,41,11,24,67
136A049,2,45,12,38,0,36,12,26,36
136A050,2,59,20,56,0,49,19,40,42
136A051,4,44,23,70,0,32,15,32,75
136A052,2,45,38,44,0,45,12,31,51
136A053,5,33,28,57,1,37,9,28,45
136A054,2,42,18,52,2,41,15,30,61
136A055,2,43,25,69,3,54,7,42,79
136A056,2,60,29,55,3,50,24,30,93
136A057,1,38,38,46,1,26,10,27,82
136A058,3,38,14,57,2,37,8,38,63
136A059,6,48,13,43,3,27,22,35,83
136A060,2,60,47,75,4,49,13,60,51
136A061,1,32,28,61,2,47,19,35,50
136A062,6,67,32,77,1,48,14,24,100
136A063,2,50,25,63,4,38,18,43,68
136A064,4,28,9,25,1,29,9,33,121
136A065,7,25,9,70,2,19,6,29,220
136A066,3,25,8,65,1,9,3,16,157
136A067,5,44,44,71,0,51,17,37,89
136A068,2,51,33,57,1,53,15,51,87
136A069,2,57,27,72,0,62,15,40,77
136A070,4,69,27,49,1,40,20,30,97
136A071,6,31,18,63,0,37,9,42,141
136A072,12,41,17,55,2,32,10,34,199
136A073,4,33,3,60,2,41,13,32,136
136A074,9,45,6,33,0,28,2,12,198
136A075,2,60,31,59,1,52,15,30,48
136A076,3,39,23,37,1,34,12,28,46
136A077,1,36,25,33,1,43,15,16,32
136A078,0,30,22,45,2,32,9,27,51
136A079,1,41,27,30,1,34,7,21,37
136A080,1,45,33,60,6,59,19,36,54
136A081,0,10,9,13,0,19,11,7,17
136A082,0,46,25,82,1,51,5,33,223
136A083,8,36,19,59,2,26,6,27,210
Ukupno,301,3545,1836,4620,115,2877,951,2607,7913
