"Biračko Mjesto","TARIK JAŽIĆ - NAŠA STRANKA","IBRAHIM HADŽIBAJRIĆ - NEZAVISNI KANDIDAT","HALID SOLAKOVIĆ - GRAĐANSKI SAVEZ (GS)","SUAD HANDANAGIĆ - SDA/SBB"
137A001,24,297,15,107
137A002,31,254,11,115
137A003,19,210,9,148
137A004,28,220,8,106
137A005,19,166,7,155
137A006,15,201,16,160
137A007,22,203,13,76
137A008,31,200,9,67
137A009,26,290,7,113
137A010,31,255,17,85
137A011,18,312,8,155
137A012,45,213,11,111
137A013,44,205,16,67
137A014,65,190,17,107
137A015,71,232,22,88
137A016,51,187,14,125
137A017,38,184,14,112
137A018,58,219,19,91
137A019,25,379,6,76
137A020,39,266,13,190
137A021,33,225,11,171
137A022,21,386,13,125
137A023,52,260,14,147
137A024,39,303,36,138
137A025,44,223,19,119
137A026,42,195,21,101
137A027,42,177,25,127
137A028,54,162,18,85
137A029,27,200,7,132
137A030,29,195,19,167
137A031,55,198,18,126
137A032,92,156,13,107
137A033,52,180,17,98
137A034,28,173,14,148
137A035,31,172,10,164
137A036,29,252,13,84
137A037,30,296,14,153
137A038,72,142,12,64
137A039,56,181,10,65
137A040,91,167,12,80
137A041,80,192,18,120
137A042,77,245,22,107
137A043,61,151,29,123
137A044,64,163,16,85
137A045,75,152,17,79
137A046,76,138,22,83
Ukupno,2052,9967,692,5252
