"Biračko Mjesto","MIRSAD ĆATIĆ - SDP-SOCIJALDEMOKRATSKA PARTIJA BIH","SAMIR IMAMOVIĆ - NAŠA STRANKA","ENES KOMARICA - KOMUNISTIČKA PARTIJA","HASAN TANOVIĆ - DEMOKRATSKA FRONTA","SAMIR ARNAUTOVIĆ - GRAĐANSKI SAVEZ (GS)","NEDŽAD KOLDŽO - SDA/SBB"
139A001,16,42,6,71,9,130
139A002,13,53,3,44,8,97
139A003,30,53,9,68,16,87
139A004,29,53,4,49,8,68
139A005,29,92,5,38,9,80
139A006,14,41,8,24,8,54
139A007,20,44,5,57,11,102
139A008,25,52,5,41,8,94
139A009,27,74,6,38,8,90
139A010,29,67,8,45,11,118
139A011,15,47,8,40,11,111
139A012,16,34,4,25,11,111
139A013,18,52,8,34,8,90
139A014,28,58,2,64,11,91
139A015,31,65,12,48,11,105
139A016,36,45,6,41,11,90
139A017,21,66,1,40,10,82
139A018,21,67,4,23,8,75
139A019,25,61,4,49,10,135
139A020,24,46,6,51,6,123
139A021,26,60,5,73,8,115
139A022,25,54,7,55,8,95
139A023,24,56,9,48,14,81
139A024,31,55,7,74,5,111
139A025,20,64,4,54,13,115
139A026,14,52,5,53,9,105
139A027,19,46,5,58,10,113
139A028,48,67,5,48,17,125
139A029,13,32,0,28,7,176
139A030,20,33,4,29,5,128
139A031,35,82,3,48,15,82
139A032,15,35,6,44,8,128
139A033,36,73,13,73,11,107
139A034,20,44,4,49,7,107
139A035,31,49,5,59,9,136
139A036,25,39,4,78,7,134
139A037,29,70,4,56,10,116
139A038,23,49,0,80,11,147
139A039,19,62,4,45,6,133
139A040,18,56,3,43,4,126
139A041,19,60,10,55,10,123
139A042,27,39,3,59,7,130
139A043,21,49,8,77,7,86
139A044,26,58,3,64,3,91
139A045,17,55,1,49,11,80
139A046,22,49,13,77,7,106
139A047,17,36,5,55,10,142
139A048,12,5,0,38,4,198
139A049,23,35,2,80,5,192
139A050,30,37,8,49,5,137
139A051,19,12,2,45,8,122
139A052,12,11,2,34,1,138
139A053,17,51,4,41,11,104
139A054,21,69,4,55,9,117
139A055,30,56,2,59,10,79
139A056,32,51,2,47,9,85
139A057,22,31,3,39,7,84
139A058,37,72,4,67,19,129
139A059,17,63,3,53,9,91
139A060,22,41,8,45,8,97
139A061,25,53,6,35,8,101
139A062,27,57,8,51,7,112
139A063,18,62,5,46,5,76
139A064,25,60,4,41,6,105
139A065,21,38,3,42,7,95
139A066,21,49,4,60,7,146
139A067,32,71,8,73,10,152
139A068,29,82,8,78,8,110
139A069,36,64,13,54,15,94
139A070,29,79,6,85,15,117
139A071,26,35,6,48,8,145
139A072,27,73,9,52,9,91
139A073,34,44,6,50,18,121
139A074,22,50,6,66,12,70
139A075,21,56,8,49,9,114
139A076,32,76,7,53,25,126
139A077,31,79,5,52,7,99
139A078,45,46,6,36,8,133
139A079,30,45,5,50,7,65
139A080,22,72,3,49,8,105
139A081,28,92,13,63,11,91
139A082,29,22,4,39,5,141
139A083,14,37,2,46,6,139
139A084,13,16,9,46,5,185
139A085,30,25,1,71,6,190
139A086,16,20,4,42,13,166
139A087,9,14,2,32,2,97
139A088,9,23,9,59,8,139
139A089,17,19,3,44,6,196
139A090,19,14,2,39,5,195
139A091,14,16,2,41,6,163
139A092,10,13,5,32,8,223
139A093,13,14,1,55,9,204
139A094,30,31,6,39,6,120
139A095,13,0,6,43,26,156
139A096,17,22,3,57,1,199
139A097,13,33,1,39,12,130
139A098,31,45,2,73,11,136
139A099,26,40,3,73,8,189
139A100,9,12,2,33,2,182
139A101,16,11,2,25,6,139
Ukupno,2330,4780,506,5134,898,12201
