"Biračko Mjesto","BOŠKO JUGOVIĆ - SLOŽNO ZA PALE","MIODRAG KOVAČEVIĆ - SAVEZ ZA PALE"
144B001A,169,133
144B001B,155,139
144B002A,208,201
144B002B,211,177
144B003A,219,149
144B003B,194,124
144B004,280,195
144B005,192,239
144B006,360,274
144B007,306,257
144B008,304,220
144B009,44,57
144B010,35,22
144B011,113,52
144B012,356,228
144B013,101,42
144B014A,287,130
144B014B,276,164
144B014C,223,175
144B015,258,184
144B016,135,70
144B017,56,69
144B018,42,54
144B019,11,21
144B020,10,28
144B021,8,18
144B022,7,31
144B023,258,298
144B024,43,32
144B025,7,12
144B026,250,191
144B027,37,30
144B028,289,230
144B029,365,228
144B030,340,270
144B031,279,276
144B032,369,188
144B033,173,200
144B034,272,175
Ukupno,7242,5583
