"Biračko Mjesto","SLAVIŠA MIŠKOVIĆ - SDS-SRPSKA DEMOKRATSKA STRANKA","MLADEN ĐUREVIĆ - SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD"
147B001,225,281
147B002,220,365
147B003,228,371
147B004,137,130
147B005,154,157
147B006,161,292
147B007,167,260
147B008,41,5
147B009,52,53
147B010,56,130
147B011,36,62
147B012,47,45
147B013,159,257
147B014,153,112
147B015,91,77
147B016,20,68
147B017,12,38
147B018,32,16
147B019,132,195
147B020,34,30
147B022,135,177
147B023,104,232
147B024,172,166
147BO21,189,296
Ukupno,2757,3815
