"Biračko Mjesto","MIRO KRALJEVIĆ - HDZ BIH - HRVATSKA DEMOKRATSKA ZAJEDNICA BIH","DENI ĆORIĆ - HRVATSKI SAVEZ HKDU - HRAST"
150A001,73,141
150A002,68,96
150A003,137,118
150A004,217,140
150A005A,121,78
150A005B,116,60
150A006,243,57
150A007,239,152
150A008,325,105
150A009,222,51
150A010,166,22
150A011,118,60
150A012,139,56
150A013,148,59
150A014,340,59
150A015,193,103
150A016,479,111
150A017,141,65
150A018,231,109
150A019,174,88
150A020,168,107
150A021,185,105
150A022,178,97
150A023,112,52
150A024,222,50
150A025,225,53
150A026,65,12
150A027,69,23
150A028,213,50
150A029,92,39
150A030,219,99
150A031,153,83
150A032,101,61
150A033,89,178
150A034,90,97
150A035,280,124
150A036,156,64
150A037,129,75
Ukupno,6636,3099
