"Biračko Mjesto","MILENKO AVDALOVIĆ - SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD","MOMČILO ŠILJEGOVIĆ - SAVEZ ZA PROMJENE NEVESINJE"
161B000,0,0
161B001,173,99
161B002,264,212
161B003A,215,196
161B003B,158,129
161B004,223,246
161B005,345,272
161B006,173,142
161B007,292,325
161B008,161,106
161B009,155,86
161B010,17,27
161B011,67,75
161B012,68,26
161B013,11,26
161B014,102,89
161B015,50,72
161B016,69,93
161B017,68,67
161B018,34,48
161B019,21,23
161B020,59,68
161B021,42,6
161B022,23,10
161B023,35,31
161B024,93,50
161B025,135,86
161B026,291,210
161B027,317,327
161B028,135,92
161B029,17,14
161B030,286,159
161B031,142,121
Ukupno,4241,3533
