"Biračko Mjesto","ZDRAVKO KRSMANOVIĆ - SRPSKA RADIKALNA STRANKA REPUBLIKE SRPSKE","MILIVOJE DOSTIĆ - SDS-SRPSKA DEMOKRATSKA STRANKA","RADISAV MAŠIĆ - SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD"
166B001,135,77,347
166B002,67,30,63
166B003,71,36,89
166B004,49,32,85
166B005,8,2,19
166B006,15,6,29
166B007,120,13,55
166B008,156,133,304
166B009,53,18,48
166B010,180,99,191
166B011,160,41,134
166B012,108,37,50
166B013,12,10,71
166B014,21,37,77
166B015,28,3,37
166B016,2,4,4
166B017,14,13,20
166B018,88,67,60
166B019,152,98,236
166B020,153,84,215
166B021,180,124,335
166B022,143,114,190
166B023,223,113,310
166B024,148,88,298
166B025,209,113,206
166B026,214,163,265
166B027,85,78,141
166B028,181,136,237
166B029A,193,129,247
166B029B,134,89,213
166B030A,141,81,162
166B030B,144,93,126
166B031,261,85,187
166B032,25,2,1
166B033,41,1,16
Ukupno,3914,2249,5068
