"Biračko Mjesto","SENAD ČELJO - STRANKA ZA BOSNU I HERCEGOVINU","DEMIR IMAMOVIĆ - SDP-SOCIJALDEMOKRATSKA PARTIJA BIH","NENO ZUKO - NAŠA STRANKA","MUHAMED RAMOVIĆ - NEZAVISNI KANDIDAT","NERMANA SOFOVIĆ - NEZAVISNI KANDIDAT","MURADIF KANLIĆ - SDA/SBB"
167A001,54,67,15,228,12,148
167A002,51,38,11,213,10,110
167A003,34,16,4,334,4,106
167A004,45,35,17,205,9,112
167A005,30,19,6,257,3,122
167A006,30,29,13,253,1,121
167A007,38,6,17,237,2,72
167A008,71,22,13,231,0,145
167A009,97,14,4,247,4,142
167A010,47,28,9,231,0,61
167A011,50,39,23,225,0,149
167A012,34,23,15,272,0,106
167A013,68,42,31,226,4,136
167A014,56,30,8,296,1,97
167A015,50,37,15,327,3,136
167A016,42,31,5,304,4,117
167A017,23,12,9,202,3,68
167A018,2,0,0,63,0,25
167A019,20,14,13,249,0,109
167A020,28,7,3,216,0,92
167A021,20,22,6,261,4,91
167A022,17,5,3,207,0,155
167A023,25,4,6,259,1,79
167A024,15,16,0,202,3,97
167A025,1,4,0,100,9,49
167A026,56,48,13,241,2,124
167A027,42,44,6,239,4,118
167A028,45,10,1,268,0,78
167A029,33,3,0,258,0,94
167A030,13,3,2,140,3,78
167A031,23,9,3,122,5,80
Ukupno,1160,677,271,7113,91,3217
