"Biračko Mjesto","NEVENKO BARBARIĆ - HDZ BIH - HRVATSKA DEMOKRATSKA ZAJEDNICA BIH","ANTE PAPONJA - NEZAVISNI KANDIDAT"
171A001,112,70
171A002,142,68
171A003A,145,82
171A003B,112,56
171A004,125,86
171A005,52,48
171A006,193,61
171A007,132,141
171A008,152,211
171A009A,61,78
171A009B,136,132
171A010,96,107
171A011,121,142
171A012,125,198
171A013,83,134
171A014,103,176
171A015,162,262
171A016,97,185
171A017,100,141
171A018,173,127
171A019,69,76
171A020,259,214
171A021,105,82
171A022,84,109
171A023,112,110
171A024,146,14
171A025,71,108
171A026,294,132
171A027,136,82
171A028,116,25
171A029,114,136
171A030,365,104
171A031,103,130
171A032,110,187
171A033,137,136
171A034,104,160
171A035,64,127
171A036,122,176
171A037,59,70
171A038,75,51
Ukupno,5067,4734
