"Biračko Mjesto","MARIN RADIŠIĆ - HDZ BIH - HRVATSKA DEMOKRATSKA ZAJEDNICA BIH","PERO BARBARIĆ - HRVATSKI SAVEZ HKDU-HRAST-HDZ 1990"
172A001,123,233
172A002A,114,199
172A002B,152,129
172A002C,79,133
172A003,124,107
172A004,237,178
172A005,262,154
172A006,214,58
172A007,324,123
172A008,165,80
172A009,173,301
172A010,177,167
172A011,170,128
172A012,257,216
172A013,240,109
172A014,206,195
172A015,114,99
172A016,170,97
172A017,108,109
172A018,189,131
172A019,163,86
172A020,105,91
172A021,222,137
Ukupno,4088,3260
