"Biračko Mjesto","SMILJAN VIDIĆ - HDZ BIH - HRVATSKA DEMOKRATSKA ZAJEDNICA BIH","MILENKO SOČE - ZA ČAPLJINU ZAJEDNO! HDZ 1990 I ČAPLJINSKA NEOVISNA STRANKA"
173A001,197,92
173A002,113,68
173A003,152,58
173A004,262,140
173A005,336,124
173A006,76,28
173A007,176,107
173A008,144,83
173A009,224,59
173A010,277,102
173A011,109,51
173A012,95,49
173A013,321,114
173A014,157,134
173A015,152,92
173A016,76,21
173A017,181,196
173A018,121,51
173A019,75,61
173A020A,96,82
173A020B,80,111
173A021A,201,87
173A021B,153,83
173A022A,258,83
173A022B,185,87
173A023,116,36
173A024,133,89
173A025,73,86
173A026,224,99
173A027,137,60
173A028,253,85
173A029,138,61
173A030,100,39
173A031,116,138
173A032,143,66
173A033,189,89
Ukupno,5839,3011
