"Biračko Mjesto","LUKA PETROVIĆ - SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD","SLAVKO VUČUREVIĆ - SAVEZ ZA PROMJENE-TREBINJE"
182B001,270,175
182B002,334,158
182B003,392,249
182B004,171,119
182B005,326,234
182B006,341,210
182B007,262,173
182B008,345,192
182B009,377,254
182B010,372,366
182B011,277,220
182B012,330,269
182B013,343,231
182B014,132,109
182B015,151,139
182B016,378,290
182B017,224,146
182B018,241,235
182B019,155,102
182B020,38,146
182B021,73,85
182B022,92,104
182B023,74,49
182B024,98,75
182B025,285,225
182B026A,199,130
182B026B,277,182
182B027,267,204
182B028,357,300
182B029,283,228
182B030,173,161
182B031,268,161
182B032,245,200
182B033,313,222
182B034,260,180
182B035,301,227
182B036,357,269
182B037,226,160
182B038,325,207
182B039,186,131
182B040,155,92
182B041,202,152
182B042,245,194
Ukupno,10720,7955
