"Biračko Mjesto","DRAGO BUNDALO - SDS-SRPSKA DEMOKRATSKA STRANKA","MARKO ČOLIĆ - SOCIJALISTIČKA PARTIJA","SAŠA GRUBLJEŠIĆ - PDP- PARTIJA DEMOKRATSKOG PROGRESA","ALEKSANDAR STANIĆ - NEZAVISNI KANDIDAT","BILJANA DEJANOVIĆ GLIGIĆ - UJEDINJENA SRPSKA"
184B001,170,123,191,54,31
184B002,117,40,113,13,7
184B003,176,55,111,32,22
184B004,113,54,89,31,20
184B005,75,24,113,4,5
184B006,35,12,31,1,1
184B007,23,8,28,1,15
184B008,24,3,27,3,1
184B009,9,6,9,2,0
184B010,9,7,5,0,4
184B011,30,12,15,1,4
184B012,160,147,187,32,33
184B013,121,23,115,15,10
Ukupno,1062,514,1034,189,153
