"Biračko Mjesto","SDP-SOCIJALDEMOKRATSKA PARTIJA BIH","DEMOKRATSKA NARODNA ZAJEDNICA BIH - DNZ","SDA-STRANKA DEMOKRATSKE AKCIJE","A-SDA STRANKA DEMOKRATSKE AKTIVNOSTI","KLADUŠKA STRANKA PRIVREDNOG PROSPERITETA","SBB - FAHRUDIN RADONČIĆ","DEMOKRATSKA FRONTA","LABURISTIČKA STRANKA BOSNE I HERCEGOVINE LABURISTI BIH","ESAD ZUBOVIĆ - NEZAVISNI KANDIDAT","ZAHID KEKIĆ - NEZAVISNI KANDIDAT","POKRENIMO KLADUŠU"
001A001,25,36,55,18,8,0,25,48,0,0,10
001A002,16,36,84,36,15,1,35,82,1,0,20
001A003,8,36,46,8,5,1,12,99,0,0,12
001A004,18,12,81,21,20,1,34,108,1,0,40
001A005,15,34,46,18,16,0,24,71,5,0,30
001A006,20,60,58,17,14,0,54,110,3,1,41
001A007,16,15,37,20,16,0,8,66,6,0,41
001A008A,23,40,88,30,14,2,36,161,1,0,55
001A008B,4,22,30,17,8,2,11,53,1,0,32
001A008C,4,14,45,20,5,1,11,59,1,0,29
001A009A,12,26,27,10,7,0,4,92,1,0,7
001A009B,11,76,56,15,9,0,24,178,0,0,14
001A010,4,21,74,12,24,1,11,159,2,0,11
001A011,1,63,34,8,3,0,7,128,0,0,14
001A012A,11,17,19,15,13,0,18,125,1,0,22
001A012B,8,28,21,14,8,0,16,147,1,1,8
001A013,4,7,9,7,16,0,19,289,0,0,4
001A014A,7,56,12,7,4,0,11,164,0,0,4
001A014B,0,40,4,3,1,0,2,175,0,0,10
001A015A,0,17,15,2,5,1,12,133,1,0,19
001A015B,15,49,11,12,5,0,24,134,0,0,23
001A016A,0,21,20,7,11,0,7,182,4,0,40
001A016B,2,22,37,0,34,0,21,116,0,0,15
001A017,2,44,35,10,40,0,17,184,1,1,73
001A018,3,40,18,76,11,0,18,246,1,0,16
001A019,10,33,35,53,8,0,13,160,0,0,17
001A020,1,67,32,27,13,0,17,168,0,0,17
001A021,25,60,12,26,2,0,7,165,0,0,33
001A022,11,36,88,3,16,0,15,189,0,0,63
001A023,1,36,29,5,7,0,12,164,0,0,23
001A024A,3,29,13,9,16,0,16,141,1,0,30
001A024B,14,32,13,7,5,1,16,94,2,0,22
001A025,1,22,32,5,16,0,13,190,1,3,42
001A026,29,29,12,4,12,0,13,203,9,0,23
001A027A,3,61,43,0,14,0,9,169,1,1,23
001A027B,0,61,29,3,10,0,4,150,0,0,15
001A028,5,35,15,17,9,3,22,184,8,0,48
001A029A,5,41,35,20,3,0,13,80,1,0,58
001A029B,12,39,78,9,2,0,21,96,1,0,33
001A030,1,85,12,12,2,0,11,119,1,2,57
001A031A,1,67,102,5,4,0,28,41,0,3,7
001A031B,0,46,76,11,0,0,39,22,1,1,5
001A032,6,42,15,28,3,0,35,68,0,0,69
001A033,12,123,119,9,12,0,10,34,0,0,13
001A034,3,81,29,5,2,0,7,104,0,0,23
001A035,6,65,32,8,1,0,4,31,0,0,17
001A036,2,49,38,0,33,0,11,80,9,0,35
001A037,1,19,26,2,9,0,12,91,0,2,60
001A038,14,48,37,25,5,0,36,168,0,0,47
001A039,4,15,18,2,1,0,7,114,0,0,37
001A040,2,22,34,3,3,0,15,195,5,1,5
001A041,5,37,81,30,7,0,14,158,0,0,36
001A042,6,39,25,2,6,0,5,100,0,1,21
001A043,22,32,39,28,14,3,19,132,3,1,65
001A044,15,37,47,6,7,0,28,108,0,1,18
001A045,2,14,29,2,3,0,1,96,0,0,34
001A046,12,61,53,16,13,0,13,179,0,0,21
001A047,6,31,33,1,17,0,0,195,0,0,31
001A048,2,28,28,5,9,1,12,64,0,0,13
001A049,1,62,105,5,1,0,8,59,0,0,2
001A050,0,11,90,15,1,0,13,119,0,0,44
001A051,14,30,39,18,13,2,21,90,0,0,34
001A052,22,40,65,25,16,1,15,73,1,0,20
001A053,18,54,67,28,11,5,20,99,2,0,13
001A054,5,3,44,3,6,0,11,119,0,3,51
Ukupno,531,2554,2711,885,644,26,1047,8120,77,22,1815
