"Biračko Mjesto","STRANKA ZA BOSNU I HERCEGOVINU","SDP-SOCIJALDEMOKRATSKA PARTIJA BIH","DEMOKRATSKA NARODNA ZAJEDNICA BIH - DNZ","SDA-STRANKA DEMOKRATSKE AKCIJE","A-SDA STRANKA DEMOKRATSKE AKTIVNOSTI","SBB - FAHRUDIN RADONČIĆ","DEMOKRATSKA FRONTA","PRVA STRANKA","LABURISTIČKA STRANKA BOSNE I HERCEGOVINE LABURISTI BIH","POVRATAK OTPISANIH"
002A001,8,62,6,64,113,83,55,0,2,0
002A002,6,79,1,120,190,14,39,0,1,0
002A003,15,49,10,93,123,89,50,0,6,0
002A004,2,71,8,76,121,47,86,3,12,0
002A005,13,12,5,77,173,1,3,0,9,0
002A006,8,26,5,119,148,34,28,0,7,0
002A007,5,45,6,131,153,27,41,2,3,0
002A008A,4,20,0,56,354,10,12,0,0,0
002A008B,1,18,1,51,235,6,10,0,1,0
002A009,4,21,3,218,228,14,21,0,6,0
002A010,1,0,2,46,238,4,7,2,1,0
002A011,4,5,24,63,184,5,2,0,112,0
002A012,1,2,24,15,130,4,2,0,163,0
002A013,2,10,1,53,244,7,4,0,7,0
002A014,0,40,9,126,197,2,5,1,25,0
002A015,8,13,9,282,206,7,4,0,20,0
002A016,1,10,19,125,73,7,4,0,3,0
002A017,8,13,0,75,119,7,3,0,0,0
002A018A,47,11,0,137,194,13,13,0,0,0
002A018B,41,15,3,85,132,5,9,0,0,0
002A019,45,5,0,84,130,4,0,1,1,0
002A020A,5,1,0,122,192,0,2,0,0,0
002A020B,19,1,1,141,271,2,6,0,1,1
002A021A,20,0,2,83,95,0,0,0,0,0
002A021B,19,10,1,83,239,1,3,2,0,0
002A022A,9,8,2,192,276,8,3,0,0,0
002A022B,3,5,1,92,253,1,9,0,5,0
002A023A,3,15,5,118,233,4,23,0,2,0
002A023B,4,7,0,84,154,20,8,0,1,0
002A024,27,2,0,71,218,0,1,0,2,0
002A025,0,3,0,19,123,2,0,0,1,1
002A026,0,1,0,13,41,0,0,0,0,0
002A027A,0,10,0,120,149,3,7,0,2,0
002A027B,4,24,2,159,209,0,5,0,3,0
002A028A,1,16,0,213,146,5,23,1,0,0
002A028B,1,0,5,207,82,1,11,1,0,0
002A029,0,11,0,211,79,2,11,0,0,0
002A030,18,35,1,170,148,5,10,0,17,0
002A031A,11,19,10,87,164,0,1,0,9,0
002A031B,2,25,10,108,165,0,2,0,2,0
002A032,27,16,1,142,235,5,4,0,1,0
002A033A,0,7,9,148,114,1,2,0,23,0
002A033B,0,5,5,163,118,0,2,0,14,1
002A033C,4,10,5,138,106,1,1,1,13,0
002A034,18,6,0,97,111,9,1,0,2,0
002A035A,8,76,1,65,107,13,25,8,0,0
002A035B,24,69,1,68,102,7,31,4,0,0
002A035C,8,78,0,69,71,4,26,6,0,0
002A036,27,19,1,122,110,2,73,2,0,1
002A037,22,8,11,96,61,1,1,0,7,0
002A038,0,2,2,47,39,0,0,0,15,0
002A039,4,9,0,201,135,3,21,1,2,0
002A040,0,7,4,188,153,3,7,0,2,0
002A041,99,1,0,151,262,2,1,0,0,0
002A042,2,3,0,70,203,0,4,0,1,0
002A043,17,20,1,232,205,1,7,0,1,0
002A044,1,5,19,60,161,0,4,0,90,0
002A045,6,0,0,227,262,0,8,0,0,0
002A046,2,4,22,40,190,0,1,0,46,0
002A047,4,16,2,131,139,38,23,0,1,0
002A048,6,17,6,49,79,19,25,0,4,0
002A049,10,23,0,91,251,6,1,0,0,0
002A050,12,53,4,93,126,51,54,0,7,0
002A051,3,7,2,58,155,0,4,0,6,0
002A052,0,1,30,11,73,0,9,0,69,0
002A053,2,16,12,47,141,8,5,0,28,0
002A054A,2,18,2,245,81,9,6,0,19,0
002A054B,1,4,9,218,97,6,7,0,16,0
002A054C,4,14,12,176,122,18,8,1,27,0
002A055,32,8,0,120,189,1,29,1,1,0
002A056A,2,3,2,40,312,3,0,0,3,0
002A056B,3,3,0,56,227,7,1,0,0,0
002A057A,1,2,0,32,120,2,44,0,2,0
002A057B,2,9,2,114,165,0,16,0,2,0
002A058A,3,18,5,77,152,1,2,0,24,0
002A058B,1,21,9,68,120,0,0,0,46,0
002A059,5,13,2,57,75,41,17,1,3,0
002A060,13,0,0,41,54,1,0,0,0,0
002A061,7,23,4,46,182,9,31,0,0,0
Ukupno,752,1334,361,8483,12527,716,1024,38,899,4
