"Biračko Mjesto","SDP-SOCIJALDEMOKRATSKA PARTIJA BIH","SDA-STRANKA DEMOKRATSKE AKCIJE","STRANKA PENZIONERA / UMIROVLJENIKA BOSNE I HERCEGOVINE","NAŠA STRANKA","A-SDA STRANKA DEMOKRATSKE AKTIVNOSTI","SBB - FAHRUDIN RADONČIĆ","DEMOKRATSKA FRONTA","POVRATAK OTPISANIH"
004A001,40,73,5,31,78,14,62,0
004A002,27,140,0,8,73,85,21,0
004A003,135,74,5,13,72,37,79,0
004A004,161,82,3,18,34,18,82,0
004A005,78,68,11,34,54,33,66,0
004A006,86,67,8,17,44,30,57,0
004A007,62,68,0,21,49,19,78,0
004A008A,59,102,1,12,54,18,87,0
004A008B,18,71,5,5,31,19,87,1
004A009,100,51,6,27,64,33,39,0
004A010,65,92,0,2,35,34,89,0
004A011,81,130,3,8,43,8,77,0
004A012,49,90,6,13,58,2,52,0
004A013,71,193,2,2,44,13,27,0
004A014A,94,82,0,1,34,9,15,0
004A014B,49,208,0,1,93,1,6,0
004A015A,15,146,0,3,78,10,12,0
004A015B,42,97,0,0,85,1,13,0
004A015C,11,70,0,1,79,1,12,0
004A016,19,167,1,2,146,10,30,0
004A017A,9,96,0,6,139,0,40,0
004A017B,17,99,0,4,75,4,23,0
004A018A,17,112,0,4,99,6,22,0
004A018B,9,110,4,4,87,7,32,0
004A019,219,1,4,51,37,10,13,0
004A020,80,179,1,18,95,10,40,0
004A021,3,16,0,6,195,1,9,0
004A022,72,97,8,13,55,41,58,0
004A023,40,60,5,5,65,11,27,0
004A024,78,62,6,20,43,41,56,0
004A025,38,103,7,1,126,8,51,0
004A026,19,30,1,15,21,34,30,0
004A027,86,113,0,0,24,4,11,0
004A028,86,68,11,17,38,28,65,0
004A029,27,48,2,21,33,8,69,0
Ukupno,2062,3265,105,404,2380,608,1537,1
