"Biračko Mjesto","STRANKA ZA BOSNU I HERCEGOVINU","SDP-SOCIJALDEMOKRATSKA PARTIJA BIH","SDA-STRANKA DEMOKRATSKE AKCIJE","STRANKA PENZIONERA / UMIROVLJENIKA BOSNE I HERCEGOVINE","A-SDA STRANKA DEMOKRATSKE AKTIVNOSTI","SBB - FAHRUDIN RADONČIĆ","DEMOKRATSKA FRONTA","RIFET ŠAHINOVIĆ - NEZAVISNI KANDIDAT","NEZAVISNA LISTA JEDAN","NEZAVISNA LISTA ZA BOLJI BUŽIM 3","NEZAVISNA LISTA ZA BOLJI BUŽIM 5","NEZAVISNA LISTA ZA BOLJI BUŽIM 4","NEZAVISNA LISTA ZA BOLJI BUŽIM JEDAN","NEZAVISNA LISTA ZA BOLJI BUŽIM 2"
005A001,5,76,106,6,36,15,20,4,2,9,9,142,13,18
005A002,18,2,179,17,110,9,5,3,30,18,17,54,20,1
005A003,23,14,154,45,62,67,12,5,3,4,20,13,34,40
005A004,13,11,155,5,72,55,10,4,12,5,7,31,41,50
005A005A,6,0,114,5,122,0,3,5,2,18,3,19,7,1
005A005B,7,3,143,6,191,4,3,5,3,7,0,11,10,3
005A006,3,22,284,2,70,34,11,6,0,6,6,8,51,3
005A007A,15,3,79,4,78,3,20,11,53,10,189,0,6,11
005A007B,1,4,64,4,46,0,4,11,92,0,158,3,6,2
005A008A,35,9,119,10,73,93,25,2,2,16,15,8,3,70
005A008B,19,8,170,1,50,13,5,2,2,3,2,13,8,108
005A009A,35,15,124,8,103,19,18,5,1,93,9,55,12,20
005A009B,17,2,99,10,44,14,8,1,2,69,4,22,1,7
005A010,0,7,67,2,12,1,9,2,0,137,4,10,1,10
005A011A,49,2,90,9,45,8,11,1,1,2,14,32,16,27
005A011B,53,6,118,3,23,3,4,2,0,1,0,40,8,40
005A011C,58,5,145,1,35,7,2,2,4,6,16,11,9,42
005A012,13,22,227,46,49,1,9,0,8,2,0,8,5,64
005A013,29,9,227,9,129,8,3,24,8,7,7,68,34,19
005A014,18,32,180,11,93,49,34,21,4,22,9,12,38,35
005A015,29,42,129,11,34,36,19,7,4,12,13,15,82,58
Ukupno,446,294,2973,215,1477,439,235,123,233,447,502,575,405,629
