"Biračko Mjesto","SDP-SOCIJALDEMOKRATSKA PARTIJA BIH","SRPSKA RADIKALNA STRANKA REPUBLIKE SRPSKE","SDS-SRPSKA DEMOKRATSKA STRANKA","SOCIJALISTIČKA PARTIJA","SDA-STRANKA DEMOKRATSKE AKCIJE","PDP- PARTIJA DEMOKRATSKOG PROGRESA","DNS-DEMOKRATSKI NARODNI SAVEZ","SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD","EKOLOŠKA PARTIJA REPUBLIKE SRPSKE","A-SDA STRANKA DEMOKRATSKE AKTIVNOSTI","SBB - FAHRUDIN RADONČIĆ","NARODNI DEMOKRATSKI POKRET","LIBERALNA STRANKA BOSNE I HERCEGOVINE-LS BIH","SRS-SRPSKA U SIGURNE RUKE","USD BH UNIJA SOCIJALDEMOKRATA BH USD BH","POVRATAK OTPISANIH","MILAN MARINČIĆ - NEZAVISNI KANDIDAT","DIJANA ĐUKANOVIĆ - NEZAVISNI KANDIDAT"
007B001,1,21,40,19,4,54,39,127,5,1,4,34,0,4,0,0,0,0
007B002,2,19,33,10,8,35,33,125,15,10,0,17,0,7,0,0,0,0
007B003,3,25,64,14,23,61,43,111,4,13,0,26,0,18,0,1,0,0
007B004,6,11,33,6,74,5,14,48,5,43,2,14,0,2,0,0,0,0
007B005,8,22,38,9,91,15,24,98,4,20,1,22,0,5,0,0,0,0
007B006,17,6,37,10,39,20,78,73,15,25,3,15,0,13,0,0,0,0
007B007,0,50,65,14,1,61,76,193,32,4,0,20,0,23,0,0,0,0
007B008,2,45,54,33,8,27,126,157,17,5,0,18,1,6,0,0,0,0
007B009,0,6,160,26,0,13,42,333,9,0,0,23,0,4,0,0,1,0
007B010,0,1,12,11,0,0,3,23,0,0,0,0,0,0,0,0,0,0
007B011,0,25,82,14,0,80,49,124,16,0,0,15,0,1,0,0,0,0
007B012,3,9,62,3,5,8,19,183,16,10,1,19,1,1,0,0,0,0
007B013,33,0,0,0,223,0,0,0,0,24,1,0,0,0,0,0,0,0
007B014,9,4,29,20,35,8,32,89,13,11,0,10,0,18,0,0,0,1
007B015,0,27,48,22,0,82,34,345,26,0,1,23,0,7,0,0,0,1
007B016,0,4,6,7,0,5,7,61,7,0,0,2,0,0,0,0,0,0
007B017,0,2,10,19,0,7,28,72,6,0,0,7,0,0,0,0,1,0
007B018,0,1,15,5,0,1,31,46,1,0,0,10,0,0,0,0,0,0
007B019,0,4,15,7,0,19,12,72,13,0,0,3,0,1,0,0,0,0
007B020,0,2,16,5,0,5,13,180,11,0,0,7,0,4,0,0,0,0
007B021,0,13,44,11,0,6,28,136,9,0,0,21,0,4,0,0,0,0
007B022,0,5,18,2,0,4,9,111,0,0,0,24,0,0,0,0,0,1
007B023,0,50,81,19,0,41,60,162,32,0,0,55,0,7,0,0,0,0
007B024A,1,59,70,25,0,21,74,173,9,0,0,30,0,21,0,0,0,0
007B024B,0,29,62,8,0,12,37,145,24,0,0,43,1,9,0,0,0,0
007B025,0,3,18,9,4,7,33,66,0,7,0,11,0,7,0,0,0,0
007B026,0,11,15,6,0,42,18,68,4,0,0,14,0,2,0,0,0,0
007B027,17,0,21,2,67,1,16,37,2,22,0,5,0,0,0,0,0,0
007B028,1,18,55,13,0,23,108,182,30,0,0,52,0,11,0,0,0,1
007B029,0,24,56,14,0,33,61,119,30,0,0,43,0,7,0,0,0,0
007B030,0,21,45,14,0,10,38,86,15,0,0,2,0,0,0,0,0,0
007B031,0,22,33,38,0,28,30,120,25,0,0,10,0,5,0,0,0,0
007B032,0,8,33,33,0,20,31,144,11,0,0,3,0,0,0,0,0,0
007B033,0,3,26,13,0,5,6,66,2,0,0,3,0,0,0,0,0,0
007B034,0,30,49,21,0,17,10,137,3,0,0,70,0,3,0,0,0,0
007B035,0,44,31,7,0,6,17,145,3,0,0,59,0,1,0,0,0,0
007B036,0,85,12,7,0,8,23,113,5,0,0,46,0,1,0,0,0,0
007B037,0,6,40,1,0,2,6,44,12,0,0,4,0,0,0,0,2,0
007B038,0,13,19,5,0,3,32,64,7,0,0,17,0,1,0,0,1,0
007B039,0,2,11,1,0,0,31,23,0,0,0,15,0,1,0,0,0,0
007B040,179,3,0,0,237,0,0,2,0,38,0,0,0,0,0,0,0,0
007B041,5,12,32,7,7,27,23,78,5,9,0,16,0,4,0,0,0,0
007B042,4,22,64,11,1,55,67,207,13,4,0,29,0,22,0,0,0,0
007B043,153,10,23,4,186,5,19,111,0,70,0,9,0,0,0,0,0,0
007B044,2,26,31,28,5,25,22,134,5,4,2,38,0,13,0,0,0,0
007B045,4,1,10,4,158,15,3,17,0,65,3,1,0,10,0,3,0,0
007B046,4,8,34,19,9,48,51,126,13,2,0,49,0,10,0,0,0,0
007B047,0,7,47,11,0,35,30,84,6,0,0,12,0,10,0,0,1,0
007B048,0,0,61,1,0,3,23,89,1,0,0,2,0,0,0,0,0,0
007B049,15,2,5,0,28,0,1,4,0,23,2,1,0,0,0,0,0,0
007B050,0,34,41,11,0,18,17,135,8,0,0,2,0,4,0,0,0,0
007B051,133,2,0,0,205,2,0,4,1,22,0,0,0,0,0,0,0,0
Ukupno,602,857,1906,599,1418,1028,1627,5592,490,432,20,971,3,267,0,4,6,4
