"Biračko Mjesto","SDP-SOCIJALDEMOKRATSKA PARTIJA BIH","STRANKA SPAS","DEMOKRATSKA STRANKA INVALIDA BOSNE I HERCEGOVINE","SOCIJALISTIČKA PARTIJA","SDA-STRANKA DEMOKRATSKE AKCIJE","PDP- PARTIJA DEMOKRATSKOG PROGRESA","DNS-DEMOKRATSKI NARODNI SAVEZ","SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD","EKOLOŠKA PARTIJA REPUBLIKE SRPSKE","NARODNI DEMOKRATSKI POKRET","LIBERALNA STRANKA BOSNE I HERCEGOVINE-LS BIH","SRS-SRPSKA U SIGURNE RUKE","USD BH UNIJA SOCIJALDEMOKRATA BH USD BH","SINIŠA TANKOSIĆ - NEZAVISNI KANDIDAT","SRPSKA DEMOKRATSKA STRANKA (SDS-SRS RS)"
008B000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
008B001,7,8,0,41,4,24,71,154,0,9,0,0,0,0,44
008B002,2,22,4,32,0,25,95,171,1,26,0,0,0,0,44
008B003,12,2,1,9,15,22,80,83,0,8,1,0,0,0,32
008B004,1,20,3,47,2,49,123,133,0,11,1,1,0,1,53
008B005,3,8,2,31,0,37,53,91,0,13,0,0,0,0,48
008B006,6,5,1,25,44,40,46,84,0,8,0,1,1,0,40
008B007,6,7,0,13,9,17,41,76,0,7,0,0,0,0,18
008B008,1,16,0,22,41,51,87,165,0,18,0,1,0,0,87
008B009,16,0,0,14,48,34,54,78,1,12,1,0,0,0,38
008B010,28,12,0,10,31,56,81,120,0,5,0,2,0,0,40
008B011,0,26,0,45,0,49,54,138,0,8,0,0,0,0,54
008B012,0,3,0,11,0,56,81,72,0,3,0,2,0,0,34
008B013,0,2,0,23,1,39,53,197,0,5,0,0,0,0,40
008B014,0,8,0,33,0,50,147,238,0,10,0,0,0,0,108
008B015,0,0,0,4,0,11,50,65,0,2,0,0,0,0,10
008B016,0,1,0,5,0,14,75,29,0,0,0,0,0,0,11
008B017,0,3,0,6,0,7,163,35,0,0,0,0,0,0,29
008B018,0,0,0,108,0,60,165,91,0,4,0,0,0,0,27
008B019,0,4,0,48,0,30,175,128,1,6,0,3,0,0,61
008B020,3,15,2,10,14,30,47,124,0,2,0,0,0,0,17
008B021,0,8,0,55,0,36,78,80,0,9,0,0,0,0,67
008B022,0,0,0,4,0,11,94,43,0,9,0,0,0,0,17
008B023,1,4,0,17,0,100,86,107,0,25,0,0,0,0,25
008B024,0,18,0,44,0,43,122,82,0,11,0,0,0,0,19
008B025,0,11,0,20,0,8,29,121,0,2,0,1,0,0,34
008B026,0,3,0,19,0,16,28,94,0,0,0,0,0,0,56
008B027,0,29,0,14,0,33,38,144,2,7,0,0,0,0,38
008B028,0,1,0,77,0,41,81,120,0,7,0,0,0,0,45
008B029,0,2,0,30,0,13,32,99,0,6,0,0,0,0,22
008B030,0,14,0,25,11,21,57,288,0,32,0,1,0,0,123
008B031,0,2,0,13,0,23,7,56,0,2,0,0,0,0,31
008B032,1,8,3,13,33,30,67,128,1,9,0,0,0,0,61
008B033,26,16,2,13,12,44,65,119,1,15,0,4,0,0,32
008B034,0,2,0,39,0,23,128,63,0,3,0,0,0,0,67
008B035,3,9,0,27,11,42,55,115,1,9,0,1,0,0,31
008B036,0,1,0,7,0,12,43,13,0,0,0,0,0,0,19
008B037,32,11,1,23,30,30,63,63,0,4,0,1,0,0,28
008B038,1,6,1,19,7,32,59,71,0,6,0,0,0,0,18
008B039,5,2,0,22,11,35,49,41,0,18,0,0,0,0,21
008B040,2,8,1,37,0,50,84,133,0,23,0,2,0,0,58
Ukupno,156,317,21,1055,324,1345,3006,4252,8,354,3,20,1,1,1647
