"Biračko Mjesto","STRANKA ZA BOSNU I HERCEGOVINU","SDP-SOCIJALDEMOKRATSKA PARTIJA BIH","HDZ BIH - HRVATSKA DEMOKRATSKA ZAJEDNICA BIH","DEMOKRATSKA STRANKA INVALIDA BOSNE I HERCEGOVINE","SOCIJALISTIČKA PARTIJA","SDA-STRANKA DEMOKRATSKE AKCIJE","PARTIJA UJEDINJENIH PENZIONERA","PDP- PARTIJA DEMOKRATSKOG PROGRESA","DNS-DEMOKRATSKI NARODNI SAVEZ","SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD","EKOLOŠKA PARTIJA REPUBLIKE SRPSKE","DEMOKRATSKA FRONTA","NARODNI DEMOKRATSKI POKRET","LIBERALNA STRANKA BOSNE I HERCEGOVINE-LS BIH","SRS-SRPSKA U SIGURNE RUKE","MILENKO POPOVIĆ - NEZAVISNI KANDIDAT","JADRANKA RUŽIČIĆ - NEZAVISNI KANDIDAT","SINIŠA MIRIĆ - NEZAVISNI KANDIDAT","SANJA KOKANOVIĆ - NEZAVISNI KANDIDAT","SDS-SRPSKA DEMOKRATSKA STRANKA-SRPSKA RADIKALNA STRANKA RS"
009B001,0,2,1,0,25,0,2,12,272,99,0,0,5,0,4,0,0,0,0,71
009B002A,0,1,0,0,12,0,1,5,97,91,1,0,10,1,2,0,0,0,0,50
009B002B,0,0,0,0,20,0,0,12,83,96,0,0,19,0,2,0,0,0,0,54
009B002C,0,0,0,0,21,0,1,8,73,77,0,0,13,0,4,0,0,0,0,62
009B003,0,1,0,0,32,7,3,25,182,104,1,0,15,0,7,0,0,0,0,51
009B004,3,0,0,0,26,0,7,29,117,114,1,0,11,0,13,0,0,0,2,53
009B005,17,8,0,0,22,11,1,10,40,25,1,8,6,0,5,0,0,0,0,29
009B006,0,0,0,0,5,0,0,3,24,5,0,0,10,0,0,0,0,0,0,9
009B007,0,0,0,0,5,0,1,12,73,47,0,0,0,0,3,0,0,0,0,18
009B008A,1,6,0,0,14,12,1,14,151,75,8,0,9,0,9,0,0,0,1,84
009B008B,0,2,0,1,9,0,0,10,141,52,4,2,5,0,7,0,0,0,0,77
009B009,0,3,0,0,11,0,0,8,89,119,0,0,8,0,2,0,1,0,0,49
009B010,0,0,0,0,7,0,0,14,72,45,0,0,2,0,0,0,0,0,0,69
009B011,0,0,0,0,6,0,2,4,72,19,0,0,9,0,1,0,0,0,0,21
009B012,4,19,1,0,5,124,0,5,30,33,0,10,4,0,0,0,0,0,1,20
009B013,1,3,0,0,12,7,0,31,96,25,0,0,22,0,0,0,0,0,0,76
009B014,0,0,0,0,6,0,0,16,32,24,0,0,1,0,3,0,0,0,0,57
009B015A,12,8,0,0,0,47,0,9,6,0,0,34,0,0,0,0,0,0,0,1
009B015B,16,6,1,0,0,22,0,5,4,3,0,11,0,0,0,0,0,0,0,0
009B015C,10,4,0,0,5,68,0,3,3,0,0,19,0,0,1,0,0,0,0,2
009B016,45,19,0,0,0,56,0,1,4,4,0,9,0,0,0,0,0,0,0,7
009B017,53,7,0,0,0,62,0,0,3,4,1,23,0,0,3,0,0,0,0,2
009B018,52,9,0,0,0,51,0,1,10,10,0,40,0,0,0,0,0,0,0,1
009B019,46,14,0,0,1,63,0,0,1,1,0,25,0,0,0,0,0,0,0,0
009B020,32,3,0,0,0,70,0,2,1,5,0,17,0,0,0,0,0,0,0,1
009B021,24,2,0,0,1,66,0,1,2,0,0,4,0,0,0,0,0,0,0,1
009B022A,8,5,0,0,1,68,0,4,72,18,0,7,8,0,1,0,0,0,0,19
009B022B,3,4,0,0,2,29,1,3,29,11,0,4,0,0,3,0,0,0,0,7
009B022C,5,0,0,0,4,57,0,5,36,23,0,3,1,0,0,0,0,0,0,6
009B023A,24,13,0,0,6,91,0,0,0,3,0,6,0,0,0,0,0,0,0,0
009B023B,7,6,0,0,0,93,0,0,1,0,0,4,0,0,0,0,0,0,0,0
009B023C,18,13,1,0,6,88,0,0,2,3,0,4,0,0,0,0,0,0,0,0
009B024,5,2,0,0,8,63,0,4,53,104,0,0,0,0,0,0,0,0,0,52
009B025,0,0,0,0,40,0,0,67,89,114,0,0,16,0,11,0,0,0,0,228
009B026,0,0,0,0,15,0,0,20,261,54,0,0,6,0,4,0,0,0,0,31
009B027,0,0,0,0,2,0,0,2,37,3,0,0,0,0,0,0,0,0,0,1
009B028,0,0,0,0,13,0,0,105,192,98,1,0,6,0,2,1,0,0,0,72
009B029,0,0,0,0,10,0,2,92,183,95,2,0,5,0,6,0,0,0,0,82
