"Biračko Mjesto","STRANKA ZA BOSNU I HERCEGOVINU","SDP-SOCIJALDEMOKRATSKA PARTIJA BIH","SRPSKA RADIKALNA STRANKA REPUBLIKE SRPSKE","SDS-SRPSKA DEMOKRATSKA STRANKA","HDZ BIH - HRVATSKA DEMOKRATSKA ZAJEDNICA BIH","DEMOKRATSKA STRANKA INVALIDA BOSNE I HERCEGOVINE","SOCIJALISTIČKA PARTIJA","SDA-STRANKA DEMOKRATSKE AKCIJE","PARTIJA UJEDINJENIH PENZIONERA","PDP- PARTIJA DEMOKRATSKOG PROGRESA","DNS-DEMOKRATSKI NARODNI SAVEZ","NARODNA STRANKA RADOM ZA BOLJITAK","SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD","SRPSKA NAPREDNA STRANKA","STRANKA SOCIJALNE SIGURNOSTI SRPSKIH BORACA","NARODNI DEMOKRATSKI POKRET","LIBERALNA STRANKA BOSNE I HERCEGOVINE-LS BIH",IZVOR,"GORAN ĐORĐIĆ-GRADIŠKA MORA NAPRIJED"
010B000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
010B001,56,3,0,1,0,0,0,86,0,0,0,0,9,0,0,2,0,0,5
010B002,0,0,0,70,0,0,1,0,0,8,19,1,69,0,0,10,0,22,4
010B003,0,0,0,124,0,0,12,0,0,16,15,5,63,1,0,18,0,14,8
010B004,0,0,1,52,0,0,9,0,5,50,26,5,135,3,0,13,0,153,14
010B005,0,0,0,73,0,1,6,2,2,58,67,2,117,1,0,20,0,42,92
010B006,61,5,0,1,0,0,0,93,0,1,0,1,5,1,0,0,0,1,1
010B007,0,0,0,66,0,0,25,0,7,51,35,4,240,2,1,11,0,58,60
010B008,0,0,0,49,0,0,1,0,2,147,15,0,46,4,0,5,0,11,8
010B009,0,0,0,31,0,0,0,0,2,17,5,3,29,1,0,6,0,25,30
010B010,0,0,0,13,0,0,8,0,0,16,1,8,29,0,0,59,0,8,13
010B011,0,0,0,35,0,0,5,0,5,21,15,1,67,1,0,6,0,38,52
010B012,0,0,0,21,0,0,0,0,0,42,94,4,138,2,2,35,0,34,16
010B013,0,0,0,38,0,0,0,0,0,2,4,1,29,0,0,0,0,19,13
010B014,0,0,4,88,3,0,8,0,5,26,50,18,167,4,0,47,0,98,11
010B015,6,6,2,26,0,0,21,7,17,33,15,5,75,11,2,18,0,31,37
010B016,0,0,0,34,0,0,0,0,0,16,8,0,25,0,0,0,0,26,6
010B017,0,0,0,19,0,0,6,0,0,64,14,2,31,0,0,9,0,56,41
010B018,0,0,0,21,0,0,2,0,0,15,71,5,129,1,0,7,0,25,24
010B019,0,0,0,28,0,0,0,0,3,5,0,2,97,0,0,0,0,13,4
010B020,0,0,0,18,0,0,0,0,2,16,6,2,37,2,1,2,0,11,30
010B021,0,0,0,24,0,0,12,0,2,7,23,4,62,0,0,1,0,10,14
010B022,0,0,0,21,0,0,0,0,0,9,18,0,26,0,0,0,0,15,15
010B023,0,0,0,92,0,0,26,0,3,42,12,1,299,3,1,3,0,13,20
010B024,0,0,0,31,0,0,0,0,0,5,7,0,47,0,0,0,0,13,9
010B025,0,0,0,75,0,0,10,0,0,24,15,0,156,0,0,9,0,64,21
010B026,0,0,0,162,0,0,10,0,7,69,77,1,136,0,0,9,0,97,19
010B027,0,0,0,27,0,0,20,0,0,5,134,5,60,1,0,1,0,8,13
010B028,0,0,0,24,0,0,5,0,0,4,26,0,88,0,0,2,0,0,47
010B029,0,0,1,85,0,0,2,0,20,16,21,6,78,0,1,1,0,31,10
010B030,0,0,0,59,0,0,32,0,0,29,6,19,188,1,1,5,0,6,11
010B031,0,0,0,38,0,1,8,0,2,97,4,15,88,4,0,2,0,15,2
010B032,0,0,0,43,0,0,0,0,1,24,10,25,76,3,1,2,0,16,8
