"Biračko Mjesto","SRPSKA RADIKALNA STRANKA REPUBLIKE SRPSKE","SDS-SRPSKA DEMOKRATSKA STRANKA","STRANKA SPAS","HDZ BIH - HRVATSKA DEMOKRATSKA ZAJEDNICA BIH","SOCIJALISTIČKA PARTIJA","PARTIJA UJEDINJENIH PENZIONERA","PDP- PARTIJA DEMOKRATSKOG PROGRESA","DNS-DEMOKRATSKI NARODNI SAVEZ","SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD","EKOLOŠKA PARTIJA REPUBLIKE SRPSKE","A-SDA STRANKA DEMOKRATSKE AKTIVNOSTI","NARODNI DEMOKRATSKI POKRET","SRS-SRPSKA U SIGURNE RUKE","SLOBODNA SRPSKA","POVRATAK OTPISANIH","DARKO SEKIMIĆ - NEZAVISNI KANDIDAT"
011B001,2,44,2,0,28,4,18,46,183,4,0,38,3,54,7,5
011B002,1,44,1,0,31,1,20,41,227,1,0,17,1,37,13,9
011B003,0,55,2,1,69,1,19,37,210,1,0,48,0,37,5,4
011B004,1,32,7,1,35,0,6,65,181,0,0,20,1,36,6,0
011B005,1,28,0,1,27,0,5,77,202,3,1,8,1,9,4,1
011B006,1,30,0,0,23,4,3,115,198,1,1,5,0,15,3,0
011B007A,3,64,0,0,23,0,17,37,100,1,0,15,0,9,4,0
011B007B,2,65,0,0,21,1,22,23,125,0,0,8,0,39,14,1
011B008,3,66,0,0,18,1,44,24,141,0,0,7,0,29,0,4
011B009A,0,80,1,0,9,3,24,1,285,0,0,18,0,20,1,3
011B009B,0,39,3,0,3,4,11,3,308,0,0,53,0,17,0,6
011B010,0,92,0,0,2,0,5,6,358,0,0,4,0,5,0,0
011B011,4,28,0,0,10,1,5,8,232,1,0,42,0,26,1,82
011B012,0,39,2,0,25,3,6,198,193,1,0,3,0,16,9,0
011B013,1,31,3,1,30,0,10,40,115,1,0,12,0,6,2,0
011B014A,0,35,2,0,18,1,18,4,237,0,0,7,0,3,0,0
011B014B,1,40,3,0,12,4,10,4,216,0,0,5,1,9,3,7
011B015,0,48,0,0,11,2,17,8,285,1,0,11,0,1,7,7
011B016,1,161,0,0,38,2,7,15,201,0,0,17,0,63,2,0
011B017,1,21,0,0,6,0,0,3,133,0,0,12,1,21,19,0
011B018,16,124,0,0,63,2,7,38,201,0,0,7,1,34,5,1
011B019,1,54,0,0,8,0,7,22,105,0,0,7,0,22,1,0
011B020,2,133,0,0,9,2,0,76,135,0,0,8,0,10,42,1
011B021,49,32,0,0,14,3,0,37,149,0,0,8,0,16,4,0
011B022A,5,64,0,0,48,6,31,59,139,4,0,21,1,54,1,5
011B022B,3,46,0,0,27,5,17,31,106,0,0,19,1,26,1,3
011B023A,3,36,1,0,119,2,14,54,141,1,0,27,0,59,11,1
011B023B,0,31,0,1,73,3,17,25,118,0,0,19,1,38,6,4
011B024,0,48,3,0,46,1,13,18,251,0,0,21,0,50,2,0
011B025,0,29,0,0,72,1,8,23,163,1,0,15,0,66,9,1
011B026,1,9,1,0,4,2,14,42,151,0,0,18,0,74,2,12
011B027,2,33,4,0,29,4,16,45,184,1,0,64,0,65,12,2
011B028,0,49,0,1,27,3,24,43,253,1,0,22,0,38,15,3
011B029,2,63,2,0,45,6,17,91,177,0,0,17,0,5,6,0
011B030,2,61,2,0,23,6,5,143,160,0,0,12,1,27,0,4
011B031,1,19,0,1,16,0,1,31,39,0,0,14,2,4,0,0
011B032,1,43,3,0,43,6,10,29,237,1,0,24,0,48,5,1
011B033,1,45,4,2,43,6,12,84,224,0,2,19,1,8,5,1
011B034,0,25,0,0,12,1,1,10,128,0,0,13,0,7,7,1
011B035,16,23,0,0,13,5,2,1,75,11,0,6,1,10,3,1
011B036,0,4,0,0,1,0,7,1,46,0,0,3,0,2,8,0
011B037,0,26,0,0,14,1,2,102,28,0,0,6,2,57,8,0
011B038,0,49,0,1,17,1,12,96,187,0,0,7,0,25,2,0
011B039,1,78,0,0,17,2,2,21,198,1,0,36,0,2,0,12
011B040,0,34,1,0,32,2,18,18,156,1,0,26,1,26,19,0
011B041,1,17,1,0,9,0,9,6,236,3,0,36,0,14,4,0
011B042,2,44,1,2,32,10,7,45,208,0,0,14,2,17,2,2
011B043A,0,62,0,1,96,1,8,73,148,0,0,29,2,6,6,1
011B043B,2,46,1,0,56,0,7,36,115,0,0,20,1,5,3,0
Ukupno,133,2369,50,13,1447,113,555,2055,8588,40,4,888,25,1267,289,185
