"Biračko Mjesto","SRPSKA RADIKALNA STRANKA REPUBLIKE SRPSKE","SDS-SRPSKA DEMOKRATSKA STRANKA","SOCIJALISTIČKA PARTIJA","SDA-STRANKA DEMOKRATSKE AKCIJE","PDP- PARTIJA DEMOKRATSKOG PROGRESA","DNS-DEMOKRATSKI NARODNI SAVEZ","SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD","EKOLOŠKA PARTIJA REPUBLIKE SRPSKE","NARODNI DEMOKRATSKI POKRET","SNAGA NARODA","SRS-SRPSKA U SIGURNE RUKE"
012B001,0,50,51,1,60,30,184,2,21,0,0
012B002,0,72,79,1,59,46,248,0,32,1,2
012B003,0,46,29,0,35,37,170,0,31,1,3
012B004,0,45,71,0,115,38,223,4,56,2,4
012B005,0,15,62,0,23,13,188,1,37,0,0
012B006,0,55,37,0,54,70,252,0,120,1,22
012B007,0,17,59,0,71,25,150,0,20,0,0
012B008,2,74,43,0,70,40,201,0,25,0,0
012B009,1,91,68,0,22,51,118,0,15,0,14
012B010,0,70,17,0,18,17,94,0,16,0,1
012B011,1,56,103,0,70,24,281,0,57,0,1
012B012,0,51,15,0,15,10,394,0,11,0,0
012B013A,0,34,30,0,43,9,141,0,11,0,0
012B013B,0,43,33,0,69,14,135,0,27,0,0
012B014,0,29,9,0,62,4,90,0,2,0,0
012B015,1,85,120,0,33,25,233,0,21,0,0
012B016,0,26,49,0,38,3,76,0,4,0,0
012B017,0,27,21,0,5,11,70,0,1,0,1
012B018,0,11,25,0,18,5,103,0,7,0,0
012B019,0,10,58,0,5,7,197,0,5,0,0
012B020,0,106,59,0,11,36,176,0,12,0,1
012B021,0,20,48,26,27,18,151,0,17,0,1
012B022,0,35,35,0,8,8,180,0,49,0,0
012B023,0,50,18,0,20,20,123,0,6,0,1
012B024,0,2,16,0,1,1,51,0,18,0,1
012B025,0,21,12,0,2,26,72,0,19,0,0
012B026,0,51,27,0,15,6,47,0,1,0,1
012B027A,1,48,23,0,34,31,182,0,31,1,1
012B027B,0,38,40,0,32,13,157,0,25,0,3
012B028,1,67,49,0,81,44,226,1,27,1,0
012B029,6,28,9,0,11,27,61,0,12,0,0
012B030,0,41,36,0,14,17,162,0,8,0,2
Ukupno,13,1414,1351,28,1141,726,5136,8,744,7,59
